spec,engine_id,role,horizon_m,status
cape_level,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
cape_expanding_pct,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
rate10_level,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
rate10_chg_6m,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,HISTORICALLY_SUPPORTED_US_ONLY
rate10_chg_12m,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONDITIONAL_US_ONLY
inflation_yoy,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,HISTORICALLY_SUPPORTED_US_ONLY
inflation_accel_6m,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,HISTORICALLY_SUPPORTED_US_ONLY
inflation_abs,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,HISTORICALLY_SUPPORTED_US_ONLY
real_rate_proxy,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONDITIONAL_US_ONLY
earnings_yoy_negative,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
earnings_decel_6m,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
earnings_decel_12m,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
dividend_yoy_negative,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
dividend_decel_6m,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,HISTORICALLY_SUPPORTED_US_ONLY
vix_avg,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
vix_max,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
vix_expanding_pct,SYSTEMIC_CRASH_RISK,FRAGILITY/SEVERITY,6,CONTEXT_ONLY
