spec,kind,horizon_m,nonoverlap_ic,nonoverlap_p,block_perm_p,fdr_q_nonoverlap,status,reason
cape_level,UNIVARIATE,6,0.008005056053393,0.9326350380071646,0.8202995008319468,0.9326350380071646,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
cape_expanding_pct,UNIVARIATE,6,-0.0498166896405477,0.6052717897873306,0.7304492512479202,0.8646739854104724,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
rate10_level,UNIVARIATE,6,0.072895580060616,0.4249101794818953,0.3577371048252912,0.7081836324698255,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_yoy_negative,UNIVARIATE,6,0.0666457764699069,0.4676536720449758,0.5357737104825291,0.7194671877615012,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_decel_6m,UNIVARIATE,6,0.099153845466336,0.2792348128180218,0.1264559068219634,0.5076996596691306,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
earnings_decel_12m,UNIVARIATE,6,0.1956898779854769,0.0314692710560653,0.1231281198003327,0.1048975701868843,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
dividend_yoy_negative,UNIVARIATE,6,-0.0355471245347091,0.6986955228721268,0.56738768718802,0.9239307314004672,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_avg,UNIVARIATE,6,0.0397067881050179,0.8441117526017106,0.8951747088186356,0.9326350380071646,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_max,UNIVARIATE,6,0.054978629683871,0.7853411216903973,0.995008319467554,0.9239307314004672,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_expanding_pct,UNIVARIATE,6,0.0192307692307692,0.92730247679693,0.8935108153078203,0.9326350380071646,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
vix_chg_3m,UNIVARIATE,6,0.0638949080318137,0.7515310488197963,0.8535773710482529,0.9239307314004672,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
negative_control_noise,UNIVARIATE,6,0.154386968060701,0.0895265091582319,0.8985024958402662,0.1985252338852508,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
negative_control_sine,UNIVARIATE,6,0.1499412527219658,0.0992626169426254,0.8951747088186356,0.1985252338852508,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
cape_level,UNIVARIATE,12,0.0514332939089745,0.7039739239137551,0.6605657237936772,0.938325267833138,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
cape_expanding_pct,UNIVARIATE,12,0.0106782106782106,0.9383252678331382,0.966722129783694,0.938325267833138,CONTEXT_ONLY,Did not pass conservative US-only significance/dependence/era criteria; no production use
