metric,horizon_m,n,n_oos,base_rate,oos_ic,block_perm_p,n_nonoverlap,nonoverlap_ic,nonoverlap_p,raw_auc,raw_pr_auc,logit_brier,logit_auc,logit_pr_auc,era_ic_pre1946,era_ic_postwar,era_ic_modern,fdr_q_nonoverlap,status
cape_level,6,1707,683,0.03367496339677892,0.016548776536761386,0.8202995008319468,114,0.008005056053393021,0.9326350380071646,0.4797430830039525,0.03164951652805444,0.06183711630950811,0.4797430830039525,0.03164951652805444,0.1003764876180941,0.039882747728775765,0.22720840200586115,0.9326350380071646,CONTEXT_ONLY
cape_expanding_pct,6,1648,660,0.03484848484848485,-0.029853531903480373,0.7304492512479202,110,-0.04981668964054774,0.6052717897873306,0.4631765749778172,0.03137902684583395,0.03584820988660076,0.4631765749778172,0.03137902684583395,0.09515305690193845,0.011774439301378805,0.11933272418854773,0.8646739854104724,CONTEXT_ONLY
rate10_level,6,1827,731,0.03146374829001368,0.07406146077244237,0.3577371048252912,122,0.072895580060616,0.42491017948189536,0.5445836403831982,0.03439303526206883,0.03223564636609813,0.4554163596168017,0.02805243108056823,-0.03039665470086327,0.04294483037119232,0.014281377323117652,0.7081836324698255,CONTEXT_ONLY
rate10_chg_6m,6,1821,729,0.03155006858710562,0.20036025856286935,0.0033277870216306157,122,0.21016374465070234,0.020154997557982675,0.6862914151989161,0.07333834478296063,0.04141076558605676,0.6863529991378248,0.07333834478296063,0.17160296323421872,0.3537214207015256,0.04345796622104307,0.09757481022972357,HISTORICALLY_SUPPORTED_US_ONLY
rate10_chg_12m,6,1815,726,0.03168044077134986,0.13874857186354084,0.04492512479201331,121,0.17193170322048582,0.05933744086512866,0.5503123260560332,0.038629689916879206,0.05344994250097309,0.5503123260560332,0.038629689916879206,0.18290833339853582,0.3478283061397552,-0.030335573912263256,0.16953554532893905,CONDITIONAL_US_ONLY
inflation_yoy,6,1815,726,0.03168044077134986,0.26689566015378496,0.0016638935108153079,121,0.2749040873757435,0.0022764338581327693,0.6300946255179665,0.053995751480280525,0.03153930450948335,0.36990537448203353,0.02767198773115953,0.03894812193352779,0.28749782049806644,0.18177047581080022,0.024342705464347383,HISTORICALLY_SUPPORTED_US_ONLY
inflation_accel_6m,6,1809,724,0.031767955801104975,0.22401340424456045,0.0016638935108153079,121,0.2335397294416733,0.00993670106293708,0.6944117099795323,0.10323925534202591,0.03143106650623355,0.6944117099795323,0.10323925534202591,0.04367266065584315,0.2737271701324564,0.15805211080134465,0.06624467375291386,HISTORICALLY_SUPPORTED_US_ONLY
inflation_abs,6,1815,726,0.03168044077134986,0.2637679118196431,0.0016638935108153079,121,0.2731558681363316,0.0024342705464347383,0.6289813841301256,0.053957460245013224,0.0312773904704407,0.6289813841301256,0.053957460245013224,0.19807804273072346,0.2729013153745357,0.17298321391226307,0.024342705464347383,HISTORICALLY_SUPPORTED_US_ONLY
real_rate_proxy,6,1815,726,0.03168044077134986,-0.16460699556193992,0.021630615640599003,121,-0.15978927129531909,0.0799968441263667,0.4217947925041747,0.0331262173267918,0.03165223506285393,0.4217947925041747,0.0331262173267918,-0.054859053265903554,-0.2362420066243593,-0.09795886392423984,0.19852523388525087,CONDITIONAL_US_ONLY
earnings_yoy_negative,6,1815,726,0.03168044077134986,0.0419172573431139,0.5357737104825291,121,0.06664577646990696,0.4676536720449758,0.7219370400148432,0.16723560707569327,0.03028687392305592,0.7219370400148432,0.16723560707569327,-0.06155493204588258,-0.13059669627171364,0.11747256677882556,0.7194671877615012,CONTEXT_ONLY
earnings_decel_6m,6,1809,724,0.031767955801104975,0.108074730600283,0.1264559068219634,121,0.09915384546633607,0.2792348128180218,0.6050362835700552,0.04261764913388898,0.04214382092653728,0.6050362835700552,0.04261764913388898,0.014273378860932202,-0.11532324346473756,0.25546745228686685,0.5076996596691306,CONTEXT_ONLY
earnings_decel_12m,6,1803,722,0.03185595567867036,0.12239888112610786,0.12312811980033278,121,0.19568987798547696,0.03146927105606531,0.6544753374385768,0.06674749742914274,0.04000978716798797,0.6544753374385768,0.06674749742914274,-0.05699995303016296,-0.07145302872169844,0.2622598763936713,0.10489757018688438,CONTEXT_ONLY
dividend_yoy_negative,6,1815,726,0.03168044077134986,-0.045444807221672205,0.56738768718802,121,-0.03554712453470916,0.6986955228721268,0.5392417589213928,0.03674211209925608,0.03193675957005958,0.4607582410786072,0.028549577442539102,-0.054618537742404605,-0.1022025218192397,-0.017916302502269738,0.9239307314004673,CONTEXT_ONLY
dividend_decel_6m,6,1809,724,0.031767955801104975,-0.1472930736974752,0.03494176372712146,121,-0.20457891925079516,0.024393702557430893,0.4287663586181232,0.0317679286567047,0.031718230665844345,0.4287663586181232,0.0317679286567047,-0.05133598088256945,-0.0910228357274463,-0.1436209852996351,0.09757481022972357,HISTORICALLY_SUPPORTED_US_ONLY
vix_avg,6,399,160,0.0,-0.021741399800727805,0.8951747088186356,27,0.03970678810501797,0.8441117526017106,,0.0,,,,,,0.18949227538076638,0.9326350380071646,CONTEXT_ONLY
vix_max,6,399,160,0.0,0.000918477201982068,0.9950083194675541,27,0.05497862968387104,0.7853411216903973,,0.0,,,,,,0.19064526968570972,0.9239307314004673,CONTEXT_ONLY
vix_expanding_pct,6,364,146,0.0,0.01803747566579658,0.8935108153078203,25,0.01923076923076923,0.9273024767969301,,0.0,,,,,,0.1916717949410519,0.9326350380071646,CONTEXT_ONLY
vix_chg_3m,6,396,159,0.0,-0.016262584666513997,0.8535773710482529,27,0.0638949080318137,0.7515310488197963,,0.0,,,,,,0.03069165276997757,0.9239307314004673,CONTEXT_ONLY
negative_control_noise,6,1827,731,0.03146374829001368,-0.005024403310277056,0.8985024958402662,122,0.15438696806070104,0.08952650915823193,0.6426553672316384,0.05405306543739889,0.03142358730725982,0.3573446327683616,0.0233476192309282,-0.0243998234001995,0.017057177421079758,-0.037937431555727784,0.19852523388525087,CONTEXT_ONLY
negative_control_sine,6,1827,731,0.03146374829001368,-0.0027749676699251485,0.8951747088186356,122,0.14994125272196587,0.09926261694262543,0.505526897568165,0.033746642156686664,0.03141167221829262,0.49447310243183495,0.031061038863868712,-0.007713766953315428,-0.013045587729769654,-0.012700395844624703,0.19852523388525087,CONTEXT_ONLY
cape_level,12,1701,681,0.1013215859030837,0.05125502479076938,0.6605657237936772,57,0.051433293908974526,0.7039739239137551,0.6014611158473051,0.1903160627209304,0.1467824181592181,0.6014611158473051,0.1903160627209304,0.24194744344597316,0.08286918849868745,0.36719281332377696,0.9383252678331381,CONTEXT_ONLY
cape_expanding_pct,12,1642,657,0.1050228310502283,0.004349205697902546,0.9667221297836939,55,0.01067821067821068,0.9383252678331382,0.5779108744947254,0.12931498707465533,0.10130504260815923,0.5779108744947254,0.12931498707465533,0.22503345458094373,0.053434786018653334,0.25830351372321386,0.9383252678331381,CONTEXT_ONLY
rate10_level,12,1821,729,0.09876543209876543,0.043742480399333504,0.6955074875207987,61,0.015891273021920525,0.9032516346132811,0.5036149162861492,0.09149043623200528,0.09212308641125067,0.49638508371385087,0.09197497094670087,-0.07945521288679996,0.050575706027655286,-0.06578369590654448,0.9383252678331381,CONTEXT_ONLY
