composite,horizon_m,n,n_oos,base_rate,oos_ic,block_perm_p,n_nonoverlap,nonoverlap_ic,nonoverlap_p,logit_brier,logit_auc,logit_pr_auc,era_ic_pre1946,era_ic_postwar,era_ic_modern,fdr_q_nonoverlap,status
inflation_pressure_eq,6,1780,712,0.032303370786516857,0.30775231332601544,0.0012484394506866417,119,0.2998887069268631,0.0009214425543543783,0.03197975559007192,0.6629645989777244,0.08985673211964598,0.10940350857342528,0.34048452630214143,0.2245587712668783,0.006450097880480649,HISTORICALLY_SUPPORTED_US_ONLY
inflation_rate_shock_eq,6,1786,715,0.032167832167832165,0.2928258494836809,0.0012484394506866417,120,0.26432877826804746,0.003530271779568008,0.031872640238918046,0.6631691379743654,0.06784681948951789,0.20904961396605887,0.42569574788556014,0.15966604738919182,0.012355951228488028,HISTORICALLY_SUPPORTED_US_ONLY
valuation_inflation_eq,6,1774,710,0.0323943661971831,-0.043771395735955475,0.5855181023720349,119,-0.07319487807563962,0.42888811396321047,0.03259500921369698,0.3611796721726473,0.1911392221286866,-0.0024719092500057336,-0.01926676306198078,-0.011364551492025417,0.42888811396321047,CONTEXT_ONLY
valuation_rate_eq,6,1786,715,0.032167832167832165,-0.058478456434234945,0.4444444444444444,120,-0.08252764388630056,0.3701927718375339,0.032278375768693024,0.40072882633827595,0.23799715397960758,0.16944229829298169,0.07240206787682789,-0.09190905853194893,0.42888811396321047,CONTEXT_ONLY
valuation_vix_eq,6,1613,646,0.03560371517027864,-0.19112590393536227,0.011235955056179775,108,-0.14734706394522604,0.1280650657926654,0.035393563551643116,0.619722241607928,0.08919161454161727,0.0041939928257253125,-0.18540566439873968,-0.11400194166553285,0.22411386513716447,CONTEXT_ONLY
inflation_vix_eq,6,1774,710,0.0323943661971831,0.20821871771635878,0.0024968789013732834,119,0.25330826443886345,0.005442850252721045,0.03183143018081944,0.6841339155749636,0.10442196571795344,0.060891482270786015,0.25093246902824984,0.1338786857596097,0.012699983923015773,HISTORICALLY_SUPPORTED_US_ONLY
rate_vix_eq,6,1786,715,0.032167832167832165,0.23249116606104547,0.0012484394506866417,120,0.12430544038319485,0.17615217759407206,0.031975293045051895,0.6906886152299573,0.056156403842031445,0.24480951372137583,0.3468162930574055,0.08827685077432258,0.24661304863170092,CONTEXT_ONLY
inflation_pressure_eq,12,1774,710,0.09718309859154929,0.30135057104539137,0.0024968789013732834,60,0.37621561544873583,0.0030512709487300485,0.08790657160749393,0.7045377467272604,0.2731604755362914,0.24320329703888763,0.3470166735339858,0.17082258637932957,0.01067944832055517,HISTORICALLY_SUPPORTED_US_ONLY
inflation_rate_shock_eq,12,1780,712,0.09691011235955056,0.2504645889161738,0.0024968789013732834,60,0.38216171158655193,0.0025849504351114676,0.09138602298608467,0.6406563436788604,0.16703344789040517,0.31713957916811564,0.38311533757244,0.07141709332682565,0.01067944832055517,HISTORICALLY_SUPPORTED_US_ONLY
valuation_inflation_eq,12,1768,708,0.09745762711864407,-0.08256268710229163,0.3570536828963795,59,-0.1322033898305085,0.31821340811058296,0.09308384831446354,0.5131886326007575,0.2195082281999959,0.11796912939150714,-0.014730098778569754,-0.06390307929510967,0.3712489761290135,CONTEXT_ONLY
valuation_rate_eq,12,1780,712,0.09691011235955056,-0.12769459095538935,0.16853932584269662,60,-0.1079188663517644,0.4117874600546548,0.09446183786721732,0.42921540784817547,0.19976537206729955,0.26452803905475364,0.05197525879360957,-0.17575662711825896,0.4117874600546548,CONTEXT_ONLY
valuation_vix_eq,12,1607,643,0.10730948678071539,-0.19710699645213825,0.07990012484394507,54,-0.20907185058128452,0.1292082026509673,0.09905194631294026,0.4626571731555825,0.15856277711894623,0.07690813891437118,-0.17547372641204578,-0.12568076520240795,0.22611435463919277,CONTEXT_ONLY
inflation_vix_eq,12,1768,708,0.09745762711864407,0.23042076902629094,0.00749063670411985,59,0.14149620105201638,0.28507503302296006,0.08623699297030533,0.7243201560409154,0.31646082096131195,0.2129025514903852,0.22700445049900056,0.17676138909613265,0.3712489761290135,CONTEXT_ONLY
rate_vix_eq,12,1780,712,0.09691011235955056,0.19494551233652604,0.02372034956304619,60,0.23784384551264245,0.06726003145269806,0.09238506099605734,0.613812067527667,0.12533154374637984,0.3345016683249501,0.2790167640425734,0.09121148759268459,0.15694007338962881,CONDITIONAL_US_ONLY
inflation_pressure_eq,24,1762,705,0.2099290780141844,0.2610981997036521,0.018726591760299626,30,-0.10300333704115683,0.5880636614116412,0.1772423371273205,0.6570187782036975,0.4667688993454475,0.22256352819494007,0.2444109419402727,0.19412912945567015,0.7496687971055747,CONTEXT_ONLY
inflation_rate_shock_eq,24,1768,708,0.20903954802259886,0.22945358498058985,0.056179775280898875,30,0.08832035595105672,0.6425732546619212,0.18163546307893735,0.6299348455598456,0.32243110948225184,0.2240091643159077,0.23545443065124744,0.1246959983686553,0.7496687971055747,CONTEXT_ONLY
valuation_inflation_eq,24,1756,703,0.21052631578947367,0.007202099463640513,0.951310861423221,30,0.17330367074527253,0.3597476513161872,0.1799919544980049,0.5948015583150719,0.44394325030024506,0.27814893098288124,0.12580477509574453,-0.037933596353650234,0.6652059862401781,CONTEXT_ONLY
valuation_rate_eq,24,1768,708,0.20903954802259886,-0.03413074523667113,0.7528089887640449,30,-0.026028921023359287,0.8914012942214922,0.18444444311459382,0.5303330115830116,0.31925856133620073,0.27916304192101854,0.09870586621438864,-0.11376214278824792,0.8914012942214923,CONTEXT_ONLY
valuation_vix_eq,24,1595,638,0.22727272727272727,-0.10385071047565661,0.5368289637952559,27,-0.2503052503052503,0.20794310939752902,0.18749929008752492,0.5289781072952368,0.3552843427589656,0.2484335966980504,0.007835484735053667,-0.10227942328990429,0.6652059862401781,CONTEXT_ONLY
inflation_vix_eq,24,1756,703,0.21052631578947367,0.2114622634403143,0.0449438202247191,30,0.44649610678531704,0.013385140351714387,0.17345300861268612,0.6819698076454833,0.46896744208551616,0.2568042932954292,0.13488849044530196,0.2458962459688408,0.09369598246200071,HISTORICALLY_SUPPORTED_US_ONLY
rate_vix_eq,24,1768,708,0.20903954802259886,0.15791568189057706,0.09612983770287141,30,0.16618464961067853,0.38011770642295895,0.18357253230285928,0.5878137065637066,0.2596634060099957,0.2359290021915872,0.06997059125177708,0.19228040466879232,0.6652059862401781,CONTEXT_ONLY
