spec,horizon_m,nonoverlap_ic,nonoverlap_p,block_perm_p,fdr_q_nonoverlap,status
rate10_chg_6m,6,0.21016374465070234,0.020154997557982675,0.0033277870216306157,0.09757481022972357,HISTORICALLY_SUPPORTED_US_ONLY
rate10_chg_12m,6,0.17193170322048582,0.05933744086512866,0.04492512479201331,0.16953554532893905,CONDITIONAL_US_ONLY
inflation_yoy,6,0.2749040873757435,0.0022764338581327693,0.0016638935108153079,0.024342705464347383,HISTORICALLY_SUPPORTED_US_ONLY
inflation_accel_6m,6,0.2335397294416733,0.00993670106293708,0.0016638935108153079,0.06624467375291386,HISTORICALLY_SUPPORTED_US_ONLY
inflation_abs,6,0.2731558681363316,0.0024342705464347383,0.0016638935108153079,0.024342705464347383,HISTORICALLY_SUPPORTED_US_ONLY
real_rate_proxy,6,-0.15978927129531909,0.0799968441263667,0.021630615640599003,0.19852523388525087,CONDITIONAL_US_ONLY
dividend_decel_6m,6,-0.20457891925079516,0.024393702557430893,0.03494176372712146,0.09757481022972357,HISTORICALLY_SUPPORTED_US_ONLY
rate10_chg_6m,12,0.234279972827486,0.06916902807878722,0.09983361064891846,0.2766761123151489,CONDITIONAL_US_ONLY
inflation_yoy,12,0.2800105764145954,0.028842301081637513,0.008319467554076539,0.19228200721091673,CONDITIONAL_US_ONLY
inflation_accel_6m,12,0.321523003701745,0.01151380612478041,0.018302828618968387,0.19228200721091673,CONDITIONAL_US_ONLY
inflation_abs,12,0.28762559492332096,0.02459649529356487,0.008319467554076539,0.19228200721091673,CONDITIONAL_US_ONLY
real_rate_proxy,12,-0.2375991538868323,0.06520948717637537,0.05823627287853577,0.2766761123151489,CONDITIONAL_US_ONLY
inflation_pressure_eq,6,0.2998887069268631,0.0009214425543543783,0.0012484394506866417,0.006450097880480649,HISTORICALLY_SUPPORTED_US_ONLY
inflation_rate_shock_eq,6,0.26432877826804746,0.003530271779568008,0.0012484394506866417,0.012355951228488028,HISTORICALLY_SUPPORTED_US_ONLY
inflation_vix_eq,6,0.25330826443886345,0.005442850252721045,0.0024968789013732834,0.012699983923015773,HISTORICALLY_SUPPORTED_US_ONLY
inflation_pressure_eq,12,0.37621561544873583,0.0030512709487300485,0.0024968789013732834,0.01067944832055517,HISTORICALLY_SUPPORTED_US_ONLY
inflation_rate_shock_eq,12,0.38216171158655193,0.0025849504351114676,0.0024968789013732834,0.01067944832055517,HISTORICALLY_SUPPORTED_US_ONLY
rate_vix_eq,12,0.23784384551264245,0.06726003145269806,0.02372034956304619,0.15694007338962881,CONDITIONAL_US_ONLY
inflation_vix_eq,24,0.44649610678531704,0.013385140351714387,0.0449438202247191,0.09369598246200071,HISTORICALLY_SUPPORTED_US_ONLY
