experiment_id,engine_id,features,target,model_kind,data_origin,dataset,dataset_sha256,result_json,selection_p,global_fdr_q,scientific_status
ME-0001,GROWTH_TRACKING,realcons_g4,future_gdp,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.8974358974358975, ""holdout_p"": 0.023148684407476208, ""holdout_rmse"": 2.1857976382370294, ""holdout_spearman"": 0.36295546558704456, ""n"": 195, ""naive_holdout_rmse"": 2.4817237266283447, ""ok"": true, ""wf_p"": 0.007613264072250119, ""wf_spearman"": 0.2321998612074948}",0.007613264072250119,0.027407750660100427,HISTORICALLY_SUPPORTED_SCOPE_LIMITED
ME-0002,GROWTH_TRACKING,realinv_g4,future_gdp,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.8974358974358975, ""holdout_p"": 0.00044683011824062167, ""holdout_rmse"": 2.4724869240607172, ""holdout_spearman"": 0.5352226720647774, ""n"": 195, ""naive_holdout_rmse"": 2.4817237266283447, ""ok"": true, ""wf_p"": 0.08612755078151066, ""wf_spearman"": -0.15053114824107192}",0.08612755078151066,0.24478356537903032,CONTEXT_ONLY_OR_BUSTED_AS_TESTED
ME-0003,GROWTH_TRACKING,realdpi_g4,future_gdp,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.8974358974358975, ""holdout_p"": 0.7943790023940197, ""holdout_rmse"": 2.322951036616721, ""holdout_spearman"": 0.04311740890688259, ""n"": 195, ""naive_holdout_rmse"": 2.4817237266283447, ""ok"": true, ""wf_p"": 0.3614764942897444, ""wf_spearman"": 0.08037153686008647}",0.3614764942897444,0.5591602826844446,CONTEXT_ONLY_OR_BUSTED_AS_TESTED
ME-0004,GROWTH_TRACKING,unemp_d4,future_gdp,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.8974358974358975, ""holdout_p"": 0.07878413480709258, ""holdout_rmse"": 2.511635180482861, ""holdout_spearman"": -0.28487444617473234, ""n"": 195, ""naive_holdout_rmse"": 2.4817237266283447, ""ok"": true, ""wf_p"": 0.11757648787207153, ""wf_spearman"": -0.13740458015267176}",0.11757648787207153,0.3023395402424697,CONTEXT_ONLY_OR_BUSTED_AS_TESTED
ME-0005,GROWTH_TRACKING,realcons_g4|realinv_g4,future_gdp,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.8974358974358975, ""holdout_p"": 0.5922903685418219, ""holdout_rmse"": 2.3057719233008824, ""holdout_spearman"": 0.08846153846153848, ""n"": 195, ""naive_holdout_rmse"": 2.4817237266283447, ""ok"": true, ""wf_p"": 0.0023849411996292335, ""wf_spearman"": 0.2632199861207494}",0.0023849411996292335,0.009906678829229123,CONTEXT_ONLY_OR_BUSTED_AS_TESTED
ME-0006,GROWTH_TRACKING,realcons_g4|realinv_g4|realdpi_g4|unemp_d4,future_gdp,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.8974358974358975, ""holdout_p"": 0.15235076228406413, ""holdout_rmse"": 2.2567370836588863, ""holdout_spearman"": 0.23360323886639678, ""n"": 195, ""naive_holdout_rmse"": 2.4817237266283447, ""ok"": true, ""wf_p"": 0.00016757492185739747, ""wf_spearman"": 0.3230502322105375}",0.00016757492185739747,0.0011311307225374328,HISTORICALLY_SUPPORTED_SCOPE_LIMITED
ME-0007,INFLATION_TRACKING,m1_g4,future_infl,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.8974358974358975, ""holdout_p"": 0.7253563681447627, ""holdout_rmse"": 2.0688096569969305, ""holdout_spearman"": -0.05809716599190284, ""n"": 195, ""naive_holdout_rmse"": 2.398278523249996, ""ok"": true, ""wf_p"": 0.013621369128599929, ""wf_spearman"": 0.2150835826719418}",0.013621369128599929,0.04597212080902476,CONTEXT_ONLY_OR_BUSTED_AS_TESTED
ME-0008,INFLATION_TRACKING,realgdp_g4,future_infl,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.8974358974358975, ""holdout_p"": 0.014812569695525336, ""holdout_rmse"": 2.426041943644178, ""holdout_spearman"": -0.38744939271255063, ""n"": 195, ""naive_holdout_rmse"": 2.398278523249996, ""ok"": true, ""wf_p"": 0.037670514493002606, ""wf_spearman"": -0.18181866710860448}",0.037670514493002606,0.11301154347900783,CONTEXT_ONLY_OR_BUSTED_AS_TESTED
ME-0009,INFLATION_TRACKING,unemp,future_infl,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.9, ""holdout_p"": 0.38476139402580006, ""holdout_rmse"": 2.323163762015781, ""holdout_spearman"": -0.14121311655429752, ""n"": 199, ""naive_holdout_rmse"": 2.333367590717547, ""ok"": true, ""wf_p"": 0.2085578246305662, ""wf_spearman"": -0.10933330673310905}",0.2085578246305662,0.4896575013065468,CONTEXT_ONLY_OR_BUSTED_AS_TESTED
ME-0010,INFLATION_TRACKING,tbilrate,future_infl,reg,FACTUAL,macrodata.csv,242dee4a4188894324cf152b49e31e1687e359cfdbc2ea5a2f8a69a9d0e1a849,"{""holdout_direction_acc"": 0.9, ""holdout_p"": 0.19037388204415537, ""holdout_rmse"": 1.5171162891236598, ""holdout_spearman"": 0.21140042805413933, ""n"": 199, ""naive_holdout_rmse"": 2.333367590717547, ""ok"": true, ""wf_p"": 4.1784340625044536e-11, ""wf_spearman"": 0.5308283914489043}",4.1784340625044536e-11,4.51270878750481e-10,HISTORICALLY_SUPPORTED_SCOPE_LIMITED
