market,symbol,name,external_id,notes,defillama_slug
US,SNDK,SanDisk,,acceptance test only; live scanner must not special-case,
US,PLTR,Palantir,,acceptance test only; live scanner must not special-case,
US,VRT,Vertiv,,data-center power/cooling chain,
US,ETN,Eaton,,electrical equipment/grid chain,
US,GEV,GE Vernova,,generation/grid chain,
US,CEG,Constellation Energy,,nuclear/data-center power chain,
US,NRG,NRG Energy,,power/data-center load chain,
US,GNRC,Generac,,backup generation chain,
US,ANET,Arista Networks,,AI networking chain,
US,COHR,Coherent,,optics/photonics chain,
US,LITE,Lumentum,,optics/laser chain,
US,AVGO,Broadcom,,networking/ASIC/optics chain,
US,MU,Micron,,memory chain,
US,WDC,Western Digital,,storage chain,
US,MOD,Modine,,thermal management chain,
US,PWR,Quanta Services,,grid construction chain,
US,HUBB,Hubbell,,grid/electrical chain,
US,EMR,Emerson Electric,,automation/electrical chain,
US,XYL,Xylem,,water/cooling infrastructure chain,
US,CCJ,Cameco,,uranium/nuclear fuel chain,
US,BWXT,BWX Technologies,,nuclear components chain,
IHSG,ADES.JK,Akasha Wira International,,acceptance test only; fundamental inflection,
IHSG,AMRT.JK,Sumber Alfaria Trijaya,,consumer/distribution,
IHSG,ICBP.JK,Indofood CBP,,consumer/pass-through,
IHSG,INDF.JK,Indofood Sukses Makmur,,consumer/agri chain,
IHSG,LSIP.JK,PP London Sumatra,,CPO plantation,
IHSG,AALI.JK,Astra Agro Lestari,,CPO plantation,
IHSG,TAPG.JK,Triputra Agro Persada,,CPO plantation,
IHSG,DSNG.JK,Dharma Satya Nusantara,,CPO plantation,
IHSG,PGAS.JK,Perusahaan Gas Negara,,gas/midstream,
IHSG,MEDC.JK,Medco Energi,,oil/gas,
IHSG,AKRA.JK,AKR Corporindo,,fuel/logistics,
IHSG,TLKM.JK,Telkom Indonesia,,data center/connectivity,
IHSG,ISAT.JK,Indosat,,data/connectivity,
IHSG,EXCL.JK,XLSMART Telecom,,data/connectivity,
IHSG,HEAL.JK,Medikaloka Hermina,,healthcare,
IHSG,MIKA.JK,Mitra Keluarga,,healthcare,
IHSG,BBCA.JK,Bank Central Asia,,macro/liquidity,
IHSG,BMRI.JK,Bank Mandiri,,macro/credit,
IHSG,BBRI.JK,Bank Rakyat Indonesia,,macro/credit,
IHSG,BRIS.JK,Bank Syariah Indonesia,,growth/financials,
FX,USDJPY=X,USD/JPY,,policy intervention hazard,
FX,EURUSD=X,EUR/USD,,relative macro,
FX,GBPUSD=X,GBP/USD,,relative macro,
FX,AUDUSD=X,AUD/USD,,China/commodity sensitivity,
FX,USDCNH=X,USD/CNH,,China/policy,
FX,USDIDR=X,USD/IDR,,Indonesia macro,
Commodity,CL=F,WTI crude,,energy chain,
Commodity,BZ=F,Brent crude,,energy chain,
Commodity,NG=F,US natural gas,,power/gas chain,
Commodity,GC=F,Gold,,macro/geopolitical,
Commodity,SI=F,Silver,,industrial/monetary,
Commodity,HG=F,Copper,,grid/data-center electrification,
Commodity,ZW=F,Wheat,,food/war/weather,
Commodity,ZC=F,Corn,,food/ethanol,
Commodity,ZS=F,Soybeans,,edible-oil substitution,
Crypto,BTC-USD,Bitcoin,bitcoin,liquidity/scarcity,
Crypto,ETH-USD,Ethereum,ethereum,fees/adoption,
Crypto,ZEC-USD,Zcash,zcash,usage/scarcity acceptance test,
Crypto,VVV-USD,Venice Token,venice-token,revenue/value-capture acceptance test,venice
Crypto,HYPE-USD,Hyperliquid,hyperliquid,revenue/value-capture,hyperliquid
Crypto,AAVE-USD,Aave,aave,fees/value-capture,aave
Crypto,UNI-USD,Uniswap,uniswap,fees/value-capture,uniswap
Crypto,SKY-USD,Sky,sky,fees/value-capture; Maker rebrand/migration to SKY,sky
