date,t10y3m,hy_oas,cape,a1,a2,b1,b2,c,score
2023-07-31,-1.58,3.79,30.89,1,0,0,0,0,1
2023-08-01,-1.49,3.82,30.09,1,0,0,0,0,1
2023-08-02,-1.45,3.96,30.09,1,0,0,0,0,1
2023-08-03,-1.34,3.98,30.09,1,0,0,0,0,1
2023-08-04,-1.49,4.01,30.09,1,0,0,0,0,1
2023-08-07,-1.47,3.97,30.09,1,0,0,0,0,1
2023-08-08,-1.55,4.0,30.09,1,0,0,0,0,1
2023-08-09,-1.55,3.94,30.09,1,0,0,0,0,1
2023-08-10,-1.45,3.83,30.09,1,0,0,0,0,1
2023-08-11,-1.38,3.83,30.09,1,0,0,0,0,1
2023-08-14,-1.37,3.79,30.09,1,0,0,0,0,1
2023-08-15,-1.35,3.85,30.09,1,0,0,0,0,1
2023-08-16,-1.28,3.81,30.09,1,0,0,0,0,1
2023-08-17,-1.26,3.95,30.09,1,0,0,0,0,1
2023-08-18,-1.29,4.02,30.09,1,0,0,0,0,1
2023-08-21,-1.23,3.97,30.09,1,0,0,0,0,1
2023-08-22,-1.23,3.93,30.09,1,0,0,0,0,1
2023-08-23,-1.38,3.92,30.09,1,0,0,0,0,1
2023-08-24,-1.35,3.91,30.09,1,0,0,0,0,1
2023-08-25,-1.36,3.9,30.09,1,0,0,0,0,1
2023-08-28,-1.38,3.86,30.09,1,0,0,0,0,1
2023-08-29,-1.44,3.87,30.09,1,0,0,0,0,1
2023-08-30,-1.44,3.8,30.09,1,0,0,0,0,1
2023-08-31,-1.47,3.85,30.09,1,0,0,0,0,1
2023-09-01,-1.35,3.81,29.8,1,0,0,0,0,1
2023-09-05,-1.28,3.83,29.8,1,0,0,0,0,1
2023-09-06,-1.25,3.86,29.8,1,0,0,0,0,1
2023-09-07,-1.26,3.9,29.8,1,0,0,0,0,1
2023-09-08,-1.29,3.85,29.8,1,0,0,0,0,1
2023-09-11,-1.26,3.82,29.8,1,0,0,0,0,1
2023-09-12,-1.29,3.84,29.8,1,0,0,0,0,1
2023-09-13,-1.3,3.85,29.8,1,0,0,0,0,1
2023-09-14,-1.26,3.78,29.8,1,0,0,0,0,1
2023-09-15,-1.23,3.79,29.8,1,0,0,0,0,1
2023-09-18,-1.23,3.82,29.8,1,0,0,0,0,1
2023-09-19,-1.17,3.82,29.8,1,0,0,0,0,1
2023-09-20,-1.21,3.77,29.8,1,0,0,0,0,1
2023-09-21,-1.08,3.89,29.8,1,0,0,0,0,1
2023-09-22,-1.12,3.93,29.8,1,0,0,0,0,1
2023-09-25,-1.03,3.97,29.8,1,0,0,0,0,1
