candidate_id,name,family,primary_role,market_scope,source_class,source_signal_class,data_required,data_readiness,current_evidence_status,next_valid_action,live_decision_weight,capital_permission
OAP_PREDICTOR_ABNORMALACCRUALS,Abnormal Accruals,open_source_cross_sectional_asset_pricing,value_capture,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Accounting,AGGREGATE_RETURN_SERIES_TESTED,FAILED_OR_UNIDENTIFIABLE,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_ACCRUALS,Accruals,open_source_cross_sectional_asset_pricing,value_capture,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Accounting,AGGREGATE_RETURN_SERIES_TESTED,DIRECTIONALLY_PERSISTENT_ONLY,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_ACCRUALSBM,Book-to-market and accruals,open_source_cross_sectional_asset_pricing,value_capture,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Accounting,AGGREGATE_RETURN_SERIES_TESTED,DIRECTIONALLY_PERSISTENT_ONLY,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_ACTIVISM1,Takeover vulnerability,open_source_cross_sectional_asset_pricing,information_flow_or_positioning,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,13F,AGGREGATE_RETURN_SERIES_TESTED,FAILED_OR_UNIDENTIFIABLE,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_AM,Total assets to market,open_source_cross_sectional_asset_pricing,value_capture,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Accounting,AGGREGATE_RETURN_SERIES_TESTED,DIRECTIONALLY_PERSISTENT_ONLY,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_ANALYSTREVISION,EPS forecast revision,open_source_cross_sectional_asset_pricing,value_capture,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Analyst,AGGREGATE_RETURN_SERIES_TESTED,ROBUST_GROSS_POSTSAMPLE,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_ANNOUNCEMENTRETURN,Earnings announcement return,open_source_cross_sectional_asset_pricing,value_capture,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Price,AGGREGATE_RETURN_SERIES_TESTED,ROBUST_25BPS_POSTSAMPLE,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_ASSETGROWTH,Asset growth,open_source_cross_sectional_asset_pricing,value_capture,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Accounting,AGGREGATE_RETURN_SERIES_TESTED,DIRECTIONALLY_PERSISTENT_ONLY,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_BETALIQUIDITYPS,Pastor-Stambaugh liquidity beta,open_source_cross_sectional_asset_pricing,execution_or_flow,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Price,AGGREGATE_RETURN_SERIES_TESTED,FAILED_OR_UNIDENTIFIABLE,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_BETATAILRISK,Tail risk beta,open_source_cross_sectional_asset_pricing,vulnerability_or_range,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Price,AGGREGATE_RETURN_SERIES_TESTED,FAILED_OR_UNIDENTIFIABLE,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
OAP_PREDICTOR_BETAVIX,Systematic volatility,open_source_cross_sectional_asset_pricing,vulnerability_or_range,US_equities_cross_section,OpenSourceAP_SignalDoc_official,PREDICTOR,Price,AGGREGATE_RETURN_SERIES_TESTED,DIRECTIONALLY_PERSISTENT_ONLY,fresh point-in-time stock-level replication if robust; otherwise retain failure/persistence diagnostic,0.0,BLOCKED
