candidate,capital_permission,evaluation_status,family,global_795_status,global_lockbox_lb_25bps,global_lockbox_lb_gross,global_registered_trials,global_validation_lb_25bps,global_validation_lb_gross,historical_support,is_placebo,is_placebo_or_interaction,ledger_id,live_decision_weight,lockbox_lb,lockbox_lb_25bps,lockbox_lb_gross,name,proof_ceiling,protocol_sha256,registered_trial_count_family,study,validation_lb,validation_lb_25bps,validation_lb_gross
AM,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.015160084110302894,-0.012660084110302892,795,-0.005448936271314465,-0.0029489362713144666,False,,,OPENAP:AM,0.0,,-0.013852272345623588,-0.011352272345623585,Total assets to market,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0035698556534344665,-0.0010698556534344678
AOP,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.008001127849232615,-0.005501127849232614,795,-0.020077512686712543,-0.01757751268671254,False,,,OPENAP:AOP,0.0,,-0.007496649639226878,-0.004996649639226877,Analyst Optimism,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.018586763433046223,-0.01608676343304622
AbnormalAccruals,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.009727504020730929,-0.007227504020730928,795,-0.02151830247419846,-0.01901830247419846,False,,,OPENAP:AbnormalAccruals,0.0,,-0.009163712683061882,-0.006663712683061882,Abnormal Accruals,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.020127645809494926,-0.017627645809494923
Accruals,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.006429070404125476,-0.003929070404125476,795,-0.013291202043352754,-0.010791202043352755,False,,,OPENAP:Accruals,0.0,,-0.006059138028443687,-0.003559138028443686,Accruals,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.011917451817015428,-0.00941745181701543
AccrualsBM,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.011847771658500456,-0.009347771658500453,795,-0.033040770886518134,-0.030540770886518135,False,,,OPENAP:AccrualsBM,0.0,,-0.010413926092733786,-0.007913926092733784,Book-to-market and accruals,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.02910592498507153,-0.02660592498507153
Activism1,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,,,795,-0.010154994935190016,-0.007654994935190019,False,,,OPENAP:Activism1,0.0,,,,Takeover vulnerability,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.009347598917776676,-0.006847598917776679
Activism2,BLOCKED,FAILED_OR_UNIDENTIFIABLE,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,,,795,-0.031735760658385286,-0.029235760658385294,False,,,OPENAP:Activism2,0.0,,,,Active shareholders,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.02901516387909361,-0.026515163879093615
AdExp,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.015061965143691356,-0.012561965143691355,795,-0.005190063155134693,-0.0026900631551346945,False,,,OPENAP:AdExp,0.0,,-0.013911352986109226,-0.011411352986109225,Advertising Expense,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.0038622452322527884,-0.0013622452322527897
AgeIPO,BLOCKED,DIRECTIONALLY_PERSISTENT_ONLY,openap_predictor,DOES_NOT_SURVIVE_GLOBAL_795,-0.008848410167428301,-0.006348410167428303,795,-0.01564902985354614,-0.013149029853546138,False,,,OPENAP:AgeIPO,0.0,,-0.0075553815363419005,-0.005055381536341901,IPO and age,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,-0.014098135170171059,-0.011598135170171059
AnalystRevision,BLOCKED,ROBUST_GROSS_POSTSAMPLE,openap_predictor,SURVIVES_GLOBAL_GROSS_ONLY,-0.0016427133610250957,0.0008572866389749043,795,0.002149452699786148,0.004649452699786149,True,,,OPENAP:AnalystRevision,0.0,,-0.0013243281951650842,0.0011756718048349158,EPS forecast revision,"Maintained aggregate long-short return persistence only; requires fresh stock-level point-in-time replication, actual turnover/cost/borrow/capacity and untouched prospective evidence.",b8317a649c9aadf35f639eb91262f1abdf064c785f943c027d1070d186e77105,212,V58_OPENAP_212_POSTSAMPLE,,0.002759977839083422,0.005259977839083423
