claim_id,series,name,data_category,economic_category,post_start_year,post_sample_available_n,tier,validation_n,validation_start,validation_end,validation_mean_monthly,validation_annualized_sharpe,validation_hac_t,validation_bonferroni_lower_bound,validation_leave_one_year_out_min_mean,validation_max_drawdown,validation_lb_after_25bps,lockbox_n,lockbox_start,lockbox_end,lockbox_mean_monthly,lockbox_annualized_sharpe,lockbox_hac_t,lockbox_bonferroni_lower_bound,lockbox_leave_one_year_out_min_mean,lockbox_max_drawdown,lockbox_lb_after_25bps
OPENAP:IO_ShortInterest,IO_ShortInterest,Inst own among high short interest,13F,ownership,2006,228,DIRECTIONALLY_PERSISTENT_ONLY,60,2006-01-31,2010-12-31,0.03116920200396826,0.7709221695420698,1.392297770636852,-0.047102801935495944,0.005954276116071441,-0.7031392364051632,-0.049602801935495947,167,2011-02-28,2024-12-31,0.06758704035975668,0.7470806302177827,2.957102283539327,-0.012324587833370981,0.05631959595750127,-0.9118341856519216,-0.014824587833371011
OPENAP:NetPayoutYield,NetPayoutYield,Net Payout Yield,Accounting,valuation,2008,204,DIRECTIONALLY_PERSISTENT_ONLY,60,2008-01-31,2012-12-31,0.010965235991166679,0.8783655423763445,2.678224699328685,-0.0033495173490678525,0.00747541671298152,-0.1925097755660532,-0.005849517349067853,143,2013-02-28,2024-12-31,0.01685966034341819,0.9523318418261252,2.8199103939782386,-0.004044195884940486,0.01308085652271467,-0.45688357910424304,-0.006544195884940485
OPENAP:roaq,roaq,Return on assets (qtrly),Accounting,profitability,2011,168,DIRECTIONALLY_PERSISTENT_ONLY,60,2011-01-31,2015-12-31,0.00800889519506615,0.7659930325698471,1.7776704372158783,-0.007743052368008339,0.004922649968300341,-0.1864676862229785,-0.010243052368008336,107,2016-02-29,2024-12-31,0.014499227693138828,0.7691206545709466,2.1068660977385347,-0.009562168942346391,0.011013863304613406,-0.48712186170840077,-0.012062168942346392
OPENAP:XFIN,XFIN,Net external financing,Accounting,external financing,2007,216,DIRECTIONALLY_PERSISTENT_ONLY,60,2007-01-31,2011-12-30,0.008338040036865193,0.7243248725487517,1.241110648901025,-0.015151059661818483,0.003372741737630679,-0.3365301972926644,-0.017651059661818486,155,2012-02-29,2024-12-31,0.01438000552841959,0.9156473611563218,2.7250901503142377,-0.00406976955057602,0.010933350861530607,-0.4581409210860211,-0.00656976955057602
OPENAP:GP,GP,gross profits / total assets,Accounting,profitability,2014,132,DIRECTIONALLY_PERSISTENT_ONLY,60,2014-01-31,2018-12-31,0.0068363239428983836,0.8783749996645195,1.719593929068779,-0.007063510504313927,0.003471546418508135,-0.12432738188989534,-0.009563510504313925,71,2019-02-28,2024-12-31,0.013120175029015966,0.823016353089025,2.366736885797807,-0.0062620015771918235,0.010184407554894062,-0.32953630914272924,-0.008762001577191824
OPENAP:OScore,OScore,O Score,Accounting,default risk,1999,312,DIRECTIONALLY_PERSISTENT_ONLY,60,1999-01-29,2003-12-31,0.004661536660651927,0.17794784401256597,0.3972862080835611,-0.03636251141709682,-0.001809296805895196,-0.6109387104568883,-0.038862511417096825,251,2004-02-27,2024-12-31,0.0128568809226355,0.7437904659797441,3.4076112636069418,-0.00033474943725980526,0.010183388132911376,-0.36262779369345166,-0.0028347494372598075
OPENAP:ShareIss1Y,ShareIss1Y,Share issuance (1 year),Accounting,external financing,2009,192,DIRECTIONALLY_PERSISTENT_ONLY,60,2009-01-30,2013-12-31,0.0010308580800069233,0.10863359442742,0.20492860233614024,-0.016556847962908818,-0.004402834712355614,-0.20850373583267656,-0.019056847962908817,131,2014-02-28,2024-12-31,0.01261219740624555,0.8764897649558977,2.4950863204707923,-0.005061120175101512,0.008949323510856684,-0.4234023333207727,-0.0075611201751015125
OPENAP:STreversal,STreversal,Short term reversal,Price,short-term reversal,1991,408,DIRECTIONALLY_PERSISTENT_ONLY,60,1991-01-31,1995-12-29,0.03630343922956875,2.244876965603032,6.221531299568475,0.015901879232202407,0.03298783135917948,-0.08012865495934718,0.013401879232202398,347,1996-02-29,2024-12-31,0.012415556644136645,0.533300486060755,3.293558695044261,-0.000764391004462045,0.009215251570461736,-0.5038183711147104,-0.0032643910044620472
OPENAP:NetEquityFinance,NetEquityFinance,Net equity financing,Accounting,external financing,2007,216,DIRECTIONALLY_PERSISTENT_ONLY,60,2007-01-31,2011-12-30,0.00822307945298166,0.784524562473103,1.4044257436433247,-0.01224837040217052,0.0031118789576797174,-0.27107539680510284,-0.014748370402170521,155,2012-02-29,2024-12-31,0.011431637970122626,0.7494943310904302,2.3163363594129525,-0.00582355160243922,0.008765046371056849,-0.5365418706460847,-0.008323551602439217
OPENAP:ShareIss5Y,ShareIss5Y,Share issuance (5 year),Accounting,external financing,2007,216,DIRECTIONALLY_PERSISTENT_ONLY,60,2007-01-31,2011-12-30,0.005788666518155968,0.6203905480605489,1.278563655424302,-0.010040901848659058,0.0013176080325850072,-0.22622416763961994,-0.012540901848659058,155,2012-02-29,2024-12-31,0.010350708489700237,0.8710898915832977,2.804305678476976,-0.0025542800507806496,0.008497964380101529,-0.4173281192489482,-0.005054280050780645
