claim_id,feature,family,horizon,orientation,diagnostic_survivor,discovery_ic_n,discovery_ic_mean,discovery_ic_hac_t,discovery_ic_bonferroni_lb,discovery_spread_n,discovery_spread_mean,discovery_spread_hac_t,discovery_spread_bonferroni_lb,validation_ic_n,validation_ic_mean,validation_ic_hac_t,validation_ic_bonferroni_lb,validation_spread_n,validation_spread_mean,validation_spread_hac_t,validation_spread_bonferroni_lb,diagnostic_holdout_ic_n,diagnostic_holdout_ic_mean,diagnostic_holdout_ic_hac_t,diagnostic_holdout_ic_bonferroni_lb,diagnostic_holdout_spread_n,diagnostic_holdout_spread_mean,diagnostic_holdout_spread_hac_t,diagnostic_holdout_spread_bonferroni_lb
mom252_over_vol63:future_63d_return,mom252_over_vol63,mom_vol,63,1,False,23,0.06111436300904908,1.2083288131276504,-0.11493391799707142,23,0.02481007969324954,1.5039241141065514,-0.03261159668961922,12,-0.1465985086153029,-2.295760119529493,-0.36886637248729226,12,-0.04473350182574735,-2.4376521115245064,-0.10860907382909843,10,0.1517636084025462,3.664376978117195,0.007604818232087057,10,0.044695510196431865,3.5368368653273756,0.0007086967567475969
sma_dist_63:future_63d_return,sma_dist_63,trend,63,1,False,24,0.006975382802505332,0.2034200768753609,-0.11238160857973478,24,0.005730819936114098,0.5590367049117968,-0.029951252492263467,12,-0.09161344248390973,-1.6689921110759869,-0.2826773034415824,12,-0.019704318080126352,-1.0501088598799477,-0.08501748128733541,10,0.13825082028179286,3.3337484260483583,-0.006096432900829701,10,0.03722552220412711,3.157414628924508,-0.003812158951256771
mom_252:future_63d_return,mom_252,momentum,63,1,False,23,0.06730468460035152,1.4313997059357595,-0.09636113913406488,23,0.028784669668115773,1.8141812492793636,-0.026442680594755606,12,-0.14926657860598425,-2.4577087578463437,-0.3606669724805275,12,-0.05161063218781672,-2.854087623589602,-0.11455335231851896,10,0.13668444064573537,3.3296605871855727,-0.006202568313418727,10,0.03623045205771516,2.8395091038958973,-0.008181935231068464
sma_dist_252:future_63d_return,sma_dist_252,trend,63,1,False,24,0.0404774888822256,0.8233463429141467,-0.13064403229923413,24,0.020019735005773236,1.2803197778499922,-0.0344071527454088,12,-0.11135932851692286,-1.8993366110604564,-0.31543831781338016,12,-0.03753798512398332,-1.8230397033895542,-0.10920980987010562,10,0.12604222756792607,2.633610733931667,-0.040543625524404325,10,0.036242693278650415,2.234630818009367,-0.02021047371597489
mom_42:future_63d_return,mom_42,momentum,63,1,False,24,0.006130491163917599,0.17781445630952653,-0.11387519804421566,24,0.005865894305773083,0.5328791934563449,-0.032450011856005954,12,-0.09248278618532664,-1.4985714142137492,-0.3072940706213476,12,-0.02505640805620668,-1.047857945785587,-0.1082883510522282,10,0.12304925387410473,2.7228690448016866,-0.0342497096181007,10,0.03472558946225262,3.1103744418335073,-0.004135107272441103
dist_high_63:future_63d_return,dist_high_63,breakout,63,1,False,24,0.016938949368317965,0.5304949792680036,-0.09420320805233312,24,0.008655657049457222,0.878189156288837,-0.025651568783349267,12,-0.1091285482451911,-1.999032469482114,-0.29914541840631653,12,-0.03909633312763825,-1.9774020203483933,-0.10791633559557573,10,0.12179722165000122,2.2665721267656505,-0.06524578231333746,10,0.02955546639313315,1.728461088190013,-0.029963014893053055
sma_dist_126:future_63d_return,sma_dist_126,trend,63,1,False,24,0.010511592789770728,0.26658475622322253,-0.12673666716788917,24,0.00800302915781274,0.7196187778794215,-0.030707182208981287,12,-0.0703919015179737,-1.5582683863296554,-0.22762865493752424,12,-0.02095475783324823,-1.2408541399754736,-0.0797355646821862,10,0.12094885112761636,3.1096100188766744,-0.014435806628552011,10,0.03655741520421811,2.8184008058711623,-0.008591399979680094
sma_dist_42:future_63d_return,sma_dist_42,trend,63,1,False,24,0.00758287056824571,0.2456485492247641,-0.09986382666260066,24,0.00693790543859402,0.8024398126553196,-0.023156761360432068,12,-0.08409511398949344,-1.623722314083504,-0.2643689231588752,12,-0.018733195081307327,-1.0680311080952363,-0.07978543247298601,10,0.11908881541999934,3.034961721200171,-0.017492530586318403,10,0.034763628464366994,3.106859842874989,-0.0041836458045893254
lowvol21_x_mom63:future_63d_return,lowvol21_x_mom63,interaction,63,1,False,24,0.0011109979848690614,0.03169473367588899,-0.12090022919860995,24,0.0039803512754843645,0.3827111255661859,-0.032220930234671055,12,-0.09124296234164535,-1.752516567545816,-0.27246494414975864,12,-0.02765518959838865,-1.303767105218023,-0.10148814482692511,10,0.11817997063026733,2.893676070260223,-0.023976815287985537,10,0.033746421159657605,2.931148265615105,-0.006327659347694005
dist_low_252:future_63d_return,dist_low_252,breakout,63,1,False,24,0.02785062815109203,0.6836108757242543,-0.1139570225818992,24,0.012820966453963962,1.1011943384490437,-0.027704724186070534,12,-0.03631977718447802,-1.5893869485703345,-0.11586006606945748,12,8.902015394209675e-05,0.012249575658944488,-0.025206343504111443,10,0.11644667371011519,2.9924941481475114,-0.018999708209199023,10,0.03527726324196105,3.075743086899147,-0.004645303919218274
