claim_id,family,tier,available_start,available_end,validation_n,validation_mean_monthly,validation_annualized_sharpe,validation_hac_t,validation_bonferroni_lower_bound,validation_leave_one_year_out_min_mean,validation_max_drawdown,validation_lb_after_25bps,lockbox_n,lockbox_mean_monthly,lockbox_annualized_sharpe,lockbox_hac_t,lockbox_bonferroni_lower_bound,lockbox_leave_one_year_out_min_mean,lockbox_max_drawdown,lockbox_lb_after_25bps
TSMOM:TSMOM,time_series_momentum,DIRECTIONALLY_PERSISTENT_ONLY,1985-01-31,2026-05-29,96,0.006648480837704107,0.6165905779733366,1.8584462186512598,-0.004139907304558381,0.005388087454901691,-0.15802928397915117,-0.0066399073045583824,101,0.0022158741564570713,0.2016115597577344,0.5924514364458516,-0.009063278506267924,-0.00014459001992408007,-0.2553645834461683,-0.011563278506267925
TSMOM:TSMOM^CM,time_series_momentum,DIRECTIONALLY_PERSISTENT_ONLY,1985-01-31,2026-05-29,96,0.0016069097824474715,0.11611668665306457,0.3166753878433298,-0.013695552678210815,-0.0007692266299414056,-0.32737339194244897,-0.016195552678210816,101,0.0032129506514719844,0.24698937438995444,0.74736924322043,-0.009751465798859958,0.001284884183916972,-0.30030992559616354,-0.01225146579885996
TSMOM:TSMOM^EQ,time_series_momentum,FAILED_OR_UNIDENTIFIABLE,1985-01-31,2026-05-29,96,0.0076394615892082345,0.39458417272160645,1.0273235989174359,-0.01478590888065225,0.0014951186664495842,-0.40409266616506323,-0.017285908880652248,101,-0.0034640529948524674,-0.14420643680717785,-0.40127581288597225,-0.02949714082112498,-0.00857758050073477,-0.8045626754697655,-0.03199714082112498
TSMOM:TSMOM^FI,time_series_momentum,DIRECTIONALLY_PERSISTENT_ONLY,1985-01-31,2026-05-29,96,0.015359581883253107,0.6842148882312434,1.8361257593433815,-0.009867156850886384,0.011788436781269182,-0.32614430239785597,-0.012367156850886386,101,0.006941241090741783,0.26617508723014255,0.698995870900867,-0.023005299353799052,-0.002606052772166658,-0.5610980681640083,-0.02550529935379906
TSMOM:TSMOM^FX,time_series_momentum,FAILED_OR_UNIDENTIFIABLE,1985-01-31,2026-05-29,96,0.006551361251911199,0.4538035116384757,1.2130191375473123,-0.009735898938180925,0.004199390958771067,-0.2276865423872425,-0.012235898938180927,101,-0.000637480982232374,-0.040623492722988964,-0.13900215077187086,-0.014467725302648686,-0.002124377872507349,-0.47098973649317755,-0.016967725302648687
VME:VAL,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1972-01-31,2026-04-30,84,0.00047783752600199755,0.13303820315785336,0.3506771149616627,-0.0036313595226683463,-0.0010925904192219795,-0.10120794132884348,-0.006131359522668346,88,0.0010985130039538515,0.1799400699965901,0.4576850506892143,-0.006139554252617905,-0.00010530901207459952,-0.18845139888209772,-0.008639554252617906
VME:MOM,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1972-01-31,2026-04-30,84,0.0014574947116523474,0.3284452538150975,1.0571299540653876,-0.0027002971808894284,0.00034174018535204767,-0.09140904736167821,-0.005200297180889428,88,0.0035539573378763445,0.5717685462649846,1.3837910004904737,-0.0041911215850107385,0.0015469059007245354,-0.11425410802648306,-0.00669112158501074
VME:VAL^SS,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1972-02-29,2026-04-30,84,-0.001474494600591319,-0.23591871543316636,-0.6224542427263805,-0.008618140093597574,-0.004473574411968091,-0.19959201749731392,-0.011118140093597573,88,0.0005517186803846117,0.05354095976932957,0.11280674491072332,-0.014197423438878474,-0.0029330151035863376,-0.3907453345430678,-0.016697423438878475
VME:MOM^SS,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1972-01-31,2026-04-30,84,0.003747650538218599,0.46034878075694075,1.5055237847095901,-0.003759162595593067,0.0020582629619165516,-0.14426061313246719,-0.006259162595593069,88,0.00489133613342759,0.5457517300511042,1.4518595252921516,-0.00526850810243536,0.0029479694008258403,-0.18405132302456872,-0.007768508102435361
VME:VAL^AA,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1972-01-31,2025-01-31,84,0.0018112635169678824,0.6378947295796434,1.8964557923164822,-0.0010689391972860858,0.001216592464959684,-0.05004697112063217,-0.0035689391972860865,73,1.539184404843876e-05,0.0038750749725160512,0.011517055748357262,-0.004014870572349494,-0.0004135680785950606,-0.0754241716455486,-0.006514870572349494
