candidate_id,f1,s1,f2,s2,kind,family1,family2
U::accel_10_40::+1,accel_10_40,1,,,univariate,trend_acceleration,
U::accel_10_40::-1,accel_10_40,-1,,,univariate,trend_acceleration,
U::accel_20_63::+1,accel_20_63,1,,,univariate,trend_acceleration,
U::accel_20_63::-1,accel_20_63,-1,,,univariate,trend_acceleration,
U::accel_40_126::+1,accel_40_126,1,,,univariate,trend_acceleration,
U::accel_40_126::-1,accel_40_126,-1,,,univariate,trend_acceleration,
U::accel_5_20::+1,accel_5_20,1,,,univariate,trend_acceleration,
U::accel_5_20::-1,accel_5_20,-1,,,univariate,trend_acceleration,
U::accel_63_126::+1,accel_63_126,1,,,univariate,trend_acceleration,
U::accel_63_126::-1,accel_63_126,-1,,,univariate,trend_acceleration,
U::accel_63_252::+1,accel_63_252,1,,,univariate,trend_acceleration,
U::accel_63_252::-1,accel_63_252,-1,,,univariate,trend_acceleration,
U::adl_flow_10::+1,adl_flow_10,1,,,univariate,accumulation_proxy,
U::adl_flow_10::-1,adl_flow_10,-1,,,univariate,accumulation_proxy,
U::adl_flow_126::+1,adl_flow_126,1,,,univariate,accumulation_proxy,
U::adl_flow_126::-1,adl_flow_126,-1,,,univariate,accumulation_proxy,
U::adl_flow_20::+1,adl_flow_20,1,,,univariate,accumulation_proxy,
U::adl_flow_20::-1,adl_flow_20,-1,,,univariate,accumulation_proxy,
U::adl_flow_40::+1,adl_flow_40,1,,,univariate,accumulation_proxy,
U::adl_flow_40::-1,adl_flow_40,-1,,,univariate,accumulation_proxy,
U::adl_flow_5::+1,adl_flow_5,1,,,univariate,accumulation_proxy,
U::adl_flow_5::-1,adl_flow_5,-1,,,univariate,accumulation_proxy,
U::adl_flow_63::+1,adl_flow_63,1,,,univariate,accumulation_proxy,
U::adl_flow_63::-1,adl_flow_63,-1,,,univariate,accumulation_proxy,
U::amihud_10::+1,amihud_10,1,,,univariate,illiquidity,
U::amihud_10::-1,amihud_10,-1,,,univariate,illiquidity,
U::amihud_126::+1,amihud_126,1,,,univariate,illiquidity,
U::amihud_126::-1,amihud_126,-1,,,univariate,illiquidity,
U::amihud_20::+1,amihud_20,1,,,univariate,illiquidity,
U::amihud_20::-1,amihud_20,-1,,,univariate,illiquidity,
U::amihud_40::+1,amihud_40,1,,,univariate,illiquidity,
U::amihud_40::-1,amihud_40,-1,,,univariate,illiquidity,
U::amihud_5::+1,amihud_5,1,,,univariate,illiquidity,
U::amihud_5::-1,amihud_5,-1,,,univariate,illiquidity,
U::amihud_63::+1,amihud_63,1,,,univariate,illiquidity,
U::amihud_63::-1,amihud_63,-1,,,univariate,illiquidity,
U::atr_ratio_10_40::+1,atr_ratio_10_40,1,,,univariate,volatility_compression,
U::atr_ratio_10_40::-1,atr_ratio_10_40,-1,,,univariate,volatility_compression,
U::atr_ratio_20_63::+1,atr_ratio_20_63,1,,,univariate,volatility_compression,
U::atr_ratio_20_63::-1,atr_ratio_20_63,-1,,,univariate,volatility_compression,
U::atr_ratio_40_126::+1,atr_ratio_40_126,1,,,univariate,volatility_compression,
U::atr_ratio_40_126::-1,atr_ratio_40_126,-1,,,univariate,volatility_compression,
U::atr_ratio_5_20::+1,atr_ratio_5_20,1,,,univariate,volatility_compression,
U::atr_ratio_5_20::-1,atr_ratio_5_20,-1,,,univariate,volatility_compression,
U::atrp_10::+1,atrp_10,1,,,univariate,volatility,
U::atrp_10::-1,atrp_10,-1,,,univariate,volatility,
U::atrp_126::+1,atrp_126,1,,,univariate,volatility,
U::atrp_126::-1,atrp_126,-1,,,univariate,volatility,
U::atrp_20::+1,atrp_20,1,,,univariate,volatility,
U::atrp_20::-1,atrp_20,-1,,,univariate,volatility,
U::atrp_40::+1,atrp_40,1,,,univariate,volatility,
U::atrp_40::-1,atrp_40,-1,,,univariate,volatility,
U::atrp_5::+1,atrp_5,1,,,univariate,volatility,
U::atrp_5::-1,atrp_5,-1,,,univariate,volatility,
U::atrp_63::+1,atrp_63,1,,,univariate,volatility,
U::atrp_63::-1,atrp_63,-1,,,univariate,volatility,
U::beta_126::+1,beta_126,1,,,univariate,market_exposure,
U::beta_126::-1,beta_126,-1,,,univariate,market_exposure,
U::beta_20::+1,beta_20,1,,,univariate,market_exposure,
U::beta_20::-1,beta_20,-1,,,univariate,market_exposure,
U::beta_40::+1,beta_40,1,,,univariate,market_exposure,
U::beta_40::-1,beta_40,-1,,,univariate,market_exposure,
U::beta_63::+1,beta_63,1,,,univariate,market_exposure,
U::beta_63::-1,beta_63,-1,,,univariate,market_exposure,
U::dist_high_126::+1,dist_high_126,1,,,univariate,price_location,
U::dist_high_126::-1,dist_high_126,-1,,,univariate,price_location,
