claim_id,feature,family,causal_role,target,top_fraction,orientation,gross_directionally_positive,globally_adjusted_diagnostic_survivor,discovery_lift_mean,discovery_lift_lb,discovery_precision,discovery_base_rate,discovery_recall,discovery_median_lead_days,discovery_mean_terminal_return,discovery_mean_mfe,discovery_mean_mae,validation_lift_mean,validation_lift_lb,validation_precision,validation_base_rate,validation_recall,validation_median_lead_days,validation_mean_terminal_return,validation_mean_mfe,validation_mean_mae,diagnostic_lockbox_lift_mean,diagnostic_lockbox_lift_lb,diagnostic_lockbox_precision,diagnostic_lockbox_base_rate,diagnostic_lockbox_recall,diagnostic_lockbox_median_lead_days,diagnostic_lockbox_mean_terminal_return,diagnostic_lockbox_mean_mfe,diagnostic_lockbox_mean_mae
residual_mom_252:down_21d_20pct:top5,residual_mom_252,market_relative,idiosyncratic_direction,down_21d_20pct,0.05,-1,True,False,0.06112548884288013,-0.025958111767142203,0.07430997876857749,0.01021690522433125,0.2795527156549521,14.0,-0.015274029975593318,0.054746219340800636,-0.07408982123978479,0.03364257067125549,-0.034009139913389316,0.04487179487179487,0.011230138186452153,0.19858156028368795,8.5,0.05125072321301588,0.11727787971616195,-0.058950487163423784,0.028965975233407555,-0.0062032471435490705,0.03459119496855346,0.005625219735145904,0.3055555555555556,14.0,0.013342252780118908,0.07375484123861248,-0.05639998228359903
residual_mom_63:down_21d_20pct:top5,residual_mom_63,market_relative,idiosyncratic_direction,down_21d_20pct,0.05,-1,True,False,0.04294337683479625,-0.019311341323161556,0.05341246290801187,0.01021690522433125,0.25878594249201275,14.0,0.0037326923184016936,0.06112171519385751,-0.06227439536669698,0.022424621953306776,-0.023968596511359633,0.03365384615384615,0.011230138186452153,0.14893617021276595,10.5,0.042237292554620234,0.0961255487231255,-0.051025705714501456,0.02896597523340755,-0.011986876684995557,0.03459119496855346,0.005625219735145904,0.3055555555555556,14.5,-0.002718041198210052,0.06106403797430623,-0.06118801712401012
rel_strength_63:down_21d_20pct:top5,rel_strength_63,market_relative,relative_strength,down_21d_20pct,0.05,-1,True,False,0.041631040876790995,-0.017058738548433393,0.0520936366633696,0.01021690522433125,0.2523961661341853,14.0,0.00336532037392565,0.05952438611395775,-0.06113870459346583,0.029636160414845243,-0.026374388098816676,0.040865384615384616,0.011230138186452153,0.18085106382978725,10.0,0.03670899100196006,0.09213706125072658,-0.05325032164521336,0.02817981171139497,-0.012649857930398842,0.03380503144654088,0.005625219735145904,0.2986111111111111,15.0,-0.001240596217673281,0.05994556475856389,-0.05827812221586942
residual_mom_126:down_21d_20pct:top5,residual_mom_126,market_relative,idiosyncratic_direction,down_21d_20pct,0.05,-1,True,False,0.046966984671070904,-0.023561732371838846,0.05762824783477682,0.01021690522433125,0.2763578274760383,14.0,-0.0010048213673492204,0.059307274899933315,-0.06313457334061012,0.027232314260999084,-0.022939347327512148,0.038461538461538464,0.011230138186452153,0.1702127659574468,11.0,0.046930250188478025,0.10630982356935736,-0.05297007467517442,0.023462830579319503,-0.013000928290455276,0.02908805031446541,0.005625219735145904,0.2569444444444444,15.0,0.006217570197690437,0.06838902790589396,-0.057663124125405425
rel_strength_126:down_21d_20pct:top5,rel_strength_126,market_relative,relative_strength,down_21d_20pct,0.05,-1,True,False,0.04662191910861405,-0.024301176490699343,0.05733333333333333,0.01021690522433125,0.2747603833865815,14.0,-0.0018407840701196534,0.05827311704496459,-0.0625960785821223,0.03123872451740934,-0.02440200067038771,0.04246794871794872,0.011230138186452153,0.1879432624113475,11.0,0.039354918746061694,0.09999143624591668,-0.05527298993876629,0.022676667057306924,-0.010582086459165838,0.02830188679245283,0.005625219735145904,0.25,14.0,0.00821411325817695,0.06644023010213894,-0.054985627935527644
rel_strength_252:down_21d_20pct:top5,rel_strength_252,market_relative,relative_strength,down_21d_20pct,0.05,-1,True,False,0.06112548884288013,-0.02511640550296433,0.07434154630416312,0.01021690522433125,0.2795527156549521,14.0,-0.01418857081354221,0.05486852769935751,-0.07301370757650728,0.035245134773819596,-0.03708052983891976,0.046474358974358976,0.011230138186452153,0.20567375886524822,9.0,0.04939985049041817,0.11506909513488157,-0.05901664784784198,0.022676667057306924,-0.0054082224110829046,0.02830188679245283,0.005625219735145904,0.25,14.5,0.009879283155857416,0.06794311709847509,-0.05515594972989449
intraday_63:down_21d_20pct:top5,intraday_63,session,regular_session_demand,down_21d_20pct,0.05,-1,True,False,0.03605361305526869,-0.014816042405411851,0.046351084812623275,0.01021690522433125,0.22523961661341854,14.0,0.006158185028166696,0.06073704011587436,-0.058244124548508906,0.02322590400458883,-0.019780399195221118,0.03445512820512821,0.011230138186452153,0.1524822695035461,11.0,0.035224642563545454,0.08921493042887854,-0.05103765216371042,0.021104340013281764,-0.015707362656904582,0.026729559748427674,0.005625219735145904,0.2361111111111111,15.5,-0.005635263251565403,0.05616982358093397,-0.059639595301852755
up_volume_share_63:down_42d_30pct:top5,up_volume_share_63,signed_volume_proxy,up_day_volume_share,down_42d_30pct,0.05,-1,True,False,0.006434556862288299,-0.010275260844142762,0.015126603091088459,0.008670237084449089,0.08662900188323917,28.5,0.009465821640661171,0.0751930015364266,-0.07248167608614986,0.0010229299535631845,-0.012571327276982855,0.004807692307692308,0.0037838053132592505,0.06315789473684211,30.0,0.04148311230570074,0.09660690037520492,-0.058838443341025316,0.020590709109730848,-0.009700196921137636,0.0234375,0.002846790890269151,0.4090909090909091,30.0,0.001097435948110846,0.07570420009019656,-0.07178027055900522
signed_volume_63:down_42d_30pct:top5,signed_volume_63,signed_volume_proxy,tick_rule_flow_proxy,down_42d_30pct,0.05,-1,True,False,0.006106472872786988,-0.009247693867733418,0.0147977638934561,0.008670237084449089,0.0847457627118644,29.0,0.01124392054262409,0.0763120910391545,-0.07157525005009147,0.0010229299535631845,-0.012571327276982855,0.004807692307692308,0.0037838053132592505,0.06315789473684211,30.0,0.04198905374186996,0.09769827705182403,-0.05863403288831782,0.018854597998619736,-0.006873631358348613,0.021701388888888888,0.002846790890269151,0.3787878787878788,26.0,0.0009299446876106448,0.07519914626035656,-0.07222266136209338
obv_slope_63:down_42d_30pct:top5,obv_slope_63,signed_volume_proxy,obv_proxy,down_42d_30pct,0.05,-1,True,False,0.006106472872786988,-0.009247693867733418,0.01483679525222552,0.008670237084449089,0.0847457627118644,29.0,0.011058791613484057,0.07608662806501508,-0.07167364797239881,0.0010229299535631845,-0.012571327276982855,0.004807692307692308,0.0037838053132592505,0.06315789473684211,30.0,0.04198905374186996,0.09769827705182403,-0.05863403288831782,0.018854597998619736,-0.006873631358348613,0.021701388888888888,0.002846790890269151,0.3787878787878788,26.0,0.0009299446876106448,0.07519914626035656,-0.07222266136209338
