symbol,cluster24,cluster48
A,0,2
AAL,0,2
AAP,0,2
AAPL,22,45
ABBV,0,2
ABC,0,2
ABT,0,2
ACN,0,2
ADBE,0,2
ADI,0,2
ADM,0,0
ADP,0,2
ADS,0,2
ADSK,0,2
AEE,0,0
AEP,0,0
AES,0,16
AET,0,3
AFL,0,2
AGN,0,2
AIG,0,2
AIV,0,0
AIZ,0,2
AJG,0,2
AKAM,0,2
ALB,0,46
ALGN,1,7
ALK,0,2
ALL,0,2
ALLE,0,2
ALXN,0,2
AMAT,0,2
AMD,15,31
AME,0,2
AMG,0,2
AMGN,0,2
AMP,0,2
AMT,0,0
AMZN,0,2
ANDV,0,1
ANSS,0,2
ANTM,0,3
AON,0,2
AOS,0,2
APA,0,1
APC,0,1
APD,0,2
APH,0,2
ARE,0,0
ARNC,0,1
ATVI,2,5
AVB,0,0
AVGO,0,2
AVY,0,2
AWK,0,0
AXP,0,2
AYI,0,42
AZO,0,2
BA,0,2
BAC,0,2
BAX,17,35
BBT,0,2
BBY,12,25
BDX,0,2
BEN,0,2
BF.B,0,0
BIIB,0,2
BK,0,2
BLK,0,2
BLL,0,2
BMY,0,2
BRK.B,0,2
BSX,0,4
BWA,0,2
BXP,0,0
C,0,2
CA,0,2
CAG,0,0
CAH,0,2
CAT,0,2
CB,0,2
CBG,0,0
CBOE,0,2
CBS,0,2
CCI,0,0
CCL,0,2
CDNS,0,2
CELG,0,2
CERN,0,2
CF,0,20
CHD,0,0
CHK,0,1
CHRW,0,2
CHTR,0,2
CI,0,3
CINF,0,2
CL,0,0
CLX,0,0
CMA,0,2
CMCSA,0,2
CME,0,2
CMG,1,7
CMI,0,2
CMS,0,0
CNC,0,3
CNP,0,0
COF,0,2
COG,0,1
COL,0,2
COO,0,14
COP,0,1
COST,0,0
COTY,19,39
CPB,0,0
CRM,0,2
CSCO,0,2
CSX,0,2
CTAS,0,2
CTL,0,0
CTSH,0,2
CTXS,0,2
CVS,0,0
CVX,0,1
CXO,0,1
D,0,0
DAL,0,2
DE,0,2
DFS,0,2
DG,0,6
DGX,0,3
DHI,0,2
DHR,0,2
DIS,0,2
DISCA,5,12
DISCK,5,12
DISH,0,36
DLR,0,0
DLTR,0,6
DOV,0,2
DPS,0,0
DRE,0,0
DRI,0,10
DTE,0,0
DUK,0,0
DVA,0,3
DVN,0,1
EA,2,5
EBAY,16,33
ECL,0,2
ED,0,0
EFX,0,2
EIX,0,0
EL,0,0
EMN,0,2
EMR,0,2
EOG,0,1
EQIX,0,0
EQR,0,0
EQT,0,1
ES,0,0
ESRX,0,3
ESS,0,0
ETFC,0,2
ETN,0,2
ETR,0,0
EW,0,4
EXC,0,0
EXPD,0,2
EXPE,0,9
EXR,0,0
F,0,2
FAST,0,2
FB,0,8
FBHS,0,2
FCX,0,1
FDX,0,2
FE,0,0
FFIV,4,19
FIS,0,2
FISV,0,2
FITB,0,2
FL,0,6
FLIR,0,2
FLR,0,2
FLS,0,2
FMC,0,2
FOX,0,2
FOXA,0,2
FRT,0,0
FTI,0,1
GD,0,2
GE,0,2
GGP,0,0
GILD,0,2
GIS,0,0
GLW,0,2
GM,0,2
GOOGL,0,2
GPC,0,2
GPN,0,2
GPS,0,6
GRMN,0,37
