claim_id,target,candidate_id,kind,validation_lb_vs_momentum,validation_lb_vs_atr,lockbox_lb_vs_momentum,lockbox_lb_vs_atr,validation_precision,lockbox_precision,promoted_diagnostic,production_promoted,live_decision_weight,capital_permission
up20_21|single|cluster24_peer_ret_5|+1,up20_21,single|cluster24_peer_ret_5|+1,single,-0.014106796576725034,-0.20298199786369678,-0.01912499157457965,-0.09340122772285217,0.07222222222222222,0.0390625,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_ret_5|-1,up20_21,single|cluster24_peer_ret_5|-1,single,-0.014347716058008452,-0.2650986384408298,-0.03725805186773881,-0.09818302449511662,0.04365079365079365,0.0290625,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_breadth_5|+1,up20_21,single|cluster24_peer_breadth_5|+1,single,-0.01635224165649979,-0.2793365068768808,-0.027427082127069517,-0.11986000080529205,0.030476190476190476,0.0240625,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_breadth_5|-1,up20_21,single|cluster24_peer_breadth_5|-1,single,-0.024471853038622964,-0.30802665807023966,-0.034816171881893995,-0.12022522930724433,0.020317460317460317,0.0196875,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_ret_21|+1,up20_21,single|cluster24_peer_ret_21|+1,single,-0.02815843358115984,-0.17442271786447766,-0.014300318065486727,-0.09910176243392928,0.08063492063492063,0.0409375,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_ret_21|-1,up20_21,single|cluster24_peer_ret_21|-1,single,-0.011201199662821484,-0.2846201993495355,-0.03789362889863505,-0.1027169841468844,0.0446031746031746,0.02765625,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_breadth_21|+1,up20_21,single|cluster24_peer_breadth_21|+1,single,-0.01622310771414383,-0.28598644135246887,-0.02517105360362469,-0.12926512118432826,0.029206349206349208,0.023125,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_breadth_21|-1,up20_21,single|cluster24_peer_breadth_21|-1,single,-0.03322254479024919,-0.3200640348005489,-0.039329841861660886,-0.11486589000744755,0.018412698412698412,0.0215625,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_ret_63|+1,up20_21,single|cluster24_peer_ret_63|+1,single,-0.06352321782071772,-0.14889452672979536,-0.0273337546694306,-0.09295036388181135,0.09825396825396826,0.04453125,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_ret_63|-1,up20_21,single|cluster24_peer_ret_63|-1,single,-0.02195861291230043,-0.30344018050549104,-0.03699345796942602,-0.11141292575343807,0.04777777777777778,0.02859375,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_breadth_63|+1,up20_21,single|cluster24_peer_breadth_63|+1,single,-0.022806440100563433,-0.2780203764355349,-0.03011277964942931,-0.13198961931789874,0.03126984126984127,0.02171875,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_breadth_63|-1,up20_21,single|cluster24_peer_breadth_63|-1,single,-0.037537088664451164,-0.32507024653799776,-0.035721342356865436,-0.10949666378546132,0.014761904761904763,0.0234375,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_accel_5_21|+1,up20_21,single|cluster24_peer_accel_5_21|+1,single,-0.011112203059448031,-0.26799732013737765,-0.0325340071362514,-0.10267150197304711,0.04793650793650794,0.02765625,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_accel_5_21|-1,up20_21,single|cluster24_peer_accel_5_21|-1,single,-0.016121530054303612,-0.20167476230631423,-0.020710055653444255,-0.10225936787235718,0.07126984126984127,0.03859375,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_accel_21_63|+1,up20_21,single|cluster24_peer_accel_21_63|+1,single,-0.01714403619812827,-0.299224628666638,-0.04042793239870608,-0.0981605612187708,0.04555555555555556,0.0315625,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_accel_21_63|-1,up20_21,single|cluster24_peer_accel_21_63|-1,single,-0.036736667714105,-0.16927965967165273,-0.029336562973205027,-0.10285223589733297,0.08587301587301588,0.0396875,False,False,0.0,BLOCKED
up20_21|single|cluster24_peer_volume_ratio_5_20|+1,up20_21,single|cluster24_peer_volume_ratio_5_20|+1,single,-0.019459692913323404,-0.297572393443871,-0.031046528380804555,-0.11130552271461958,0.025873015873015874,0.02578125,False,False,0.0,BLOCKED
