candidate_id,kind,network_feature,network_orientation,self_feature,self_orientation,third_feature,third_orientation
single|cluster24_peer_ret_5|+1,single,cluster24_peer_ret_5,1,,0,,0
single|cluster24_peer_ret_5|-1,single,cluster24_peer_ret_5,-1,,0,,0
single|cluster24_peer_breadth_5|+1,single,cluster24_peer_breadth_5,1,,0,,0
single|cluster24_peer_breadth_5|-1,single,cluster24_peer_breadth_5,-1,,0,,0
single|cluster24_peer_ret_21|+1,single,cluster24_peer_ret_21,1,,0,,0
single|cluster24_peer_ret_21|-1,single,cluster24_peer_ret_21,-1,,0,,0
single|cluster24_peer_breadth_21|+1,single,cluster24_peer_breadth_21,1,,0,,0
single|cluster24_peer_breadth_21|-1,single,cluster24_peer_breadth_21,-1,,0,,0
single|cluster24_peer_ret_63|+1,single,cluster24_peer_ret_63,1,,0,,0
single|cluster24_peer_ret_63|-1,single,cluster24_peer_ret_63,-1,,0,,0
single|cluster24_peer_breadth_63|+1,single,cluster24_peer_breadth_63,1,,0,,0
single|cluster24_peer_breadth_63|-1,single,cluster24_peer_breadth_63,-1,,0,,0
single|cluster24_peer_accel_5_21|+1,single,cluster24_peer_accel_5_21,1,,0,,0
single|cluster24_peer_accel_5_21|-1,single,cluster24_peer_accel_5_21,-1,,0,,0
single|cluster24_peer_accel_21_63|+1,single,cluster24_peer_accel_21_63,1,,0,,0
single|cluster24_peer_accel_21_63|-1,single,cluster24_peer_accel_21_63,-1,,0,,0
single|cluster24_peer_volume_ratio_5_20|+1,single,cluster24_peer_volume_ratio_5_20,1,,0,,0
single|cluster24_peer_volume_ratio_5_20|-1,single,cluster24_peer_volume_ratio_5_20,-1,,0,,0
single|cluster24_peer_breakout_share_63|+1,single,cluster24_peer_breakout_share_63,1,,0,,0
single|cluster24_peer_breakout_share_63|-1,single,cluster24_peer_breakout_share_63,-1,,0,,0
single|cluster24_follower_gap_5|+1,single,cluster24_follower_gap_5,1,,0,,0
single|cluster24_follower_gap_5|-1,single,cluster24_follower_gap_5,-1,,0,,0
single|cluster24_follower_gap_21|+1,single,cluster24_follower_gap_21,1,,0,,0
single|cluster24_follower_gap_21|-1,single,cluster24_follower_gap_21,-1,,0,,0
single|cluster24_follower_gap_63|+1,single,cluster24_follower_gap_63,1,,0,,0
single|cluster24_follower_gap_63|-1,single,cluster24_follower_gap_63,-1,,0,,0
single|cluster24_network_residual_21|+1,single,cluster24_network_residual_21,1,,0,,0
single|cluster24_network_residual_21|-1,single,cluster24_network_residual_21,-1,,0,,0
single|cluster24_network_residual_63|+1,single,cluster24_network_residual_63,1,,0,,0
single|cluster24_network_residual_63|-1,single,cluster24_network_residual_63,-1,,0,,0
single|cluster48_peer_ret_5|+1,single,cluster48_peer_ret_5,1,,0,,0
single|cluster48_peer_ret_5|-1,single,cluster48_peer_ret_5,-1,,0,,0
single|cluster48_peer_breadth_5|+1,single,cluster48_peer_breadth_5,1,,0,,0
single|cluster48_peer_breadth_5|-1,single,cluster48_peer_breadth_5,-1,,0,,0
single|cluster48_peer_ret_21|+1,single,cluster48_peer_ret_21,1,,0,,0
single|cluster48_peer_ret_21|-1,single,cluster48_peer_ret_21,-1,,0,,0
single|cluster48_peer_breadth_21|+1,single,cluster48_peer_breadth_21,1,,0,,0
single|cluster48_peer_breadth_21|-1,single,cluster48_peer_breadth_21,-1,,0,,0
single|cluster48_peer_ret_63|+1,single,cluster48_peer_ret_63,1,,0,,0
single|cluster48_peer_ret_63|-1,single,cluster48_peer_ret_63,-1,,0,,0
single|cluster48_peer_breadth_63|+1,single,cluster48_peer_breadth_63,1,,0,,0
single|cluster48_peer_breadth_63|-1,single,cluster48_peer_breadth_63,-1,,0,,0
single|cluster48_peer_accel_5_21|+1,single,cluster48_peer_accel_5_21,1,,0,,0
single|cluster48_peer_accel_5_21|-1,single,cluster48_peer_accel_5_21,-1,,0,,0
single|cluster48_peer_accel_21_63|+1,single,cluster48_peer_accel_21_63,1,,0,,0
single|cluster48_peer_accel_21_63|-1,single,cluster48_peer_accel_21_63,-1,,0,,0
single|cluster48_peer_volume_ratio_5_20|+1,single,cluster48_peer_volume_ratio_5_20,1,,0,,0
single|cluster48_peer_volume_ratio_5_20|-1,single,cluster48_peer_volume_ratio_5_20,-1,,0,,0
single|cluster48_peer_breakout_share_63|+1,single,cluster48_peer_breakout_share_63,1,,0,,0
single|cluster48_peer_breakout_share_63|-1,single,cluster48_peer_breakout_share_63,-1,,0,,0
single|cluster48_follower_gap_5|+1,single,cluster48_follower_gap_5,1,,0,,0
single|cluster48_follower_gap_5|-1,single,cluster48_follower_gap_5,-1,,0,,0
single|cluster48_follower_gap_21|+1,single,cluster48_follower_gap_21,1,,0,,0
single|cluster48_follower_gap_21|-1,single,cluster48_follower_gap_21,-1,,0,,0
single|cluster48_follower_gap_63|+1,single,cluster48_follower_gap_63,1,,0,,0
single|cluster48_follower_gap_63|-1,single,cluster48_follower_gap_63,-1,,0,,0
single|cluster48_network_residual_21|+1,single,cluster48_network_residual_21,1,,0,,0
single|cluster48_network_residual_21|-1,single,cluster48_network_residual_21,-1,,0,,0
single|cluster48_network_residual_63|+1,single,cluster48_network_residual_63,1,,0,,0
single|cluster48_network_residual_63|-1,single,cluster48_network_residual_63,-1,,0,,0
single|corr20_peer_ret_5|+1,single,corr20_peer_ret_5,1,,0,,0
single|corr20_peer_ret_5|-1,single,corr20_peer_ret_5,-1,,0,,0
single|corr20_peer_breadth_5|+1,single,corr20_peer_breadth_5,1,,0,,0
single|corr20_peer_breadth_5|-1,single,corr20_peer_breadth_5,-1,,0,,0
