claim_id,target,candidate_id,kind,validation_lb_vs_momentum,validation_lb_vs_atr,lockbox_lb_vs_momentum,lockbox_lb_vs_atr,validation_precision,lockbox_precision,promoted_diagnostic,production_promoted,live_decision_weight,capital_permission
up20_21|single|pos_gapz_max_5|+1,up20_21,single|pos_gapz_max_5|+1,single,-0.0445139938653964,-0.32127385121352825,-0.05416965118979486,-0.1410626534748738,0.02619047619047619,0.01046875,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_ret_5|+1,up20_21,pair|pos_gapz_max_5|+1|self_ret_5|+1,pair,-0.034940936582517,-0.30356261128478185,-0.056084574083373744,-0.13652337704675796,0.03190476190476191,0.01234375,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_ret_5|-1,up20_21,pair|pos_gapz_max_5|+1|self_ret_5|-1,pair,-0.03139073212138143,-0.2555624352208582,-0.052258729554037486,-0.1426751123228584,0.053015873015873016,0.01453125,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_ret_21|+1,up20_21,pair|pos_gapz_max_5|+1|self_ret_21|+1,pair,-0.04779072032046709,-0.32887205248619694,-0.04886828926266183,-0.1467794470852557,0.029682539682539682,0.01046875,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_ret_21|-1,up20_21,pair|pos_gapz_max_5|+1|self_ret_21|-1,pair,-0.053773064424608025,-0.23181351985235937,-0.05976010732649692,-0.12275178217244354,0.05555555555555555,0.019375,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_ret_63|+1,up20_21,pair|pos_gapz_max_5|+1|self_ret_63|+1,pair,-0.06166828005871693,-0.3445499577064927,-0.05132591070843602,-0.15368043474929077,0.03190476190476191,0.01015625,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_ret_63|-1,up20_21,pair|pos_gapz_max_5|+1|self_ret_63|-1,pair,-0.06252811244025179,-0.21927431562904004,-0.0630737903569367,-0.12287375827815088,0.06126984126984127,0.018125,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_mom_252_21|+1,up20_21,pair|pos_gapz_max_5|+1|self_mom_252_21|+1,pair,-0.0450602101683402,-0.3374794281309981,-0.04358753978192434,-0.15316223766011322,0.015238095238095238,0.0115625,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_mom_252_21|-1,up20_21,pair|pos_gapz_max_5|+1|self_mom_252_21|-1,pair,-0.03555568015593567,-0.20328126900514482,-0.0651957939011292,-0.10122319755510942,0.08031746031746032,0.0259375,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_atr_63|+1,up20_21,pair|pos_gapz_max_5|+1|self_atr_63|+1,pair,-0.03385365831277105,-0.18030076130961606,-0.055107530502799755,-0.08979592218461821,0.0880952380952381,0.036875,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_atr_63|-1,up20_21,pair|pos_gapz_max_5|+1|self_atr_63|-1,pair,-0.07442322373755166,-0.3662307644480355,-0.06124260822170713,-0.16419197735691637,0.0011111111111111111,0.00078125,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_compression_20_63|+1,up20_21,pair|pos_gapz_max_5|+1|self_compression_20_63|+1,pair,-0.0507867441948486,-0.2613361981912594,-0.06238165968042482,-0.1552701968622064,0.04238095238095238,0.00515625,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_compression_20_63|-1,up20_21,pair|pos_gapz_max_5|+1|self_compression_20_63|-1,pair,-0.05975134925204022,-0.3398686693355282,-0.055074397022431026,-0.1428536872775263,0.019365079365079366,0.0109375,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_volume_ratio_5_20|+1,up20_21,pair|pos_gapz_max_5|+1|self_volume_ratio_5_20|+1,pair,-0.043288289063218965,-0.3106102498554727,-0.049433565418896756,-0.13762895590786536,0.027936507936507936,0.014375,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_volume_ratio_5_20|-1,up20_21,pair|pos_gapz_max_5|+1|self_volume_ratio_5_20|-1,pair,-0.032951752620759826,-0.2996634978696705,-0.05600097556948494,-0.1392457710642135,0.031746031746031744,0.01234375,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_dist_high_63|+1,up20_21,pair|pos_gapz_max_5|+1|self_dist_high_63|+1,pair,-0.0655112756218451,-0.354880232623455,-0.051038307625491997,-0.15549557784238194,0.017619047619047618,0.005625,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_dist_high_63|-1,up20_21,pair|pos_gapz_max_5|+1|self_dist_high_63|-1,pair,-0.053846490212079524,-0.1913706727555918,-0.06176810467460128,-0.10955401613702906,0.07587301587301587,0.02359375,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_range_loc_63|+1,up20_21,pair|pos_gapz_max_5|+1|self_range_loc_63|+1,pair,-0.06402510072592349,-0.3512486184642146,-0.051684367085256006,-0.1540112023774366,0.020158730158730157,0.00625,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|+1|self_range_loc_63|-1,up20_21,pair|pos_gapz_max_5|+1|self_range_loc_63|-1,pair,-0.05273710962105558,-0.24892558906474882,-0.060646674357710095,-0.13143563226012273,0.047142857142857146,0.0146875,False,False,0.0,BLOCKED
up20_21|single|pos_gapz_max_5|-1,up20_21,single|pos_gapz_max_5|-1,single,-0.030615751977093958,-0.32498486794431436,-0.04553580835771685,-0.1485016904807289,0.03015873015873016,0.01390625,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|-1|self_ret_5|+1,up20_21,pair|pos_gapz_max_5|-1|self_ret_5|+1,pair,-0.04590886263012366,-0.33642655966263296,-0.040331326586422446,-0.1320198257799376,0.026825396825396825,0.0221875,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|-1|self_ret_5|-1,up20_21,pair|pos_gapz_max_5|-1|self_ret_5|-1,pair,-0.021199153048412706,-0.2981620649040717,-0.03640428788188912,-0.12534349046184773,0.04555555555555556,0.02421875,False,False,0.0,BLOCKED
up20_21|pair|pos_gapz_max_5|-1|self_ret_21|+1,up20_21,pair|pos_gapz_max_5|-1|self_ret_21|+1,pair,-0.044143570667877836,-0.33778971130599866,-0.03352934498797896,-0.14455786863890774,0.03142857142857143,0.01703125,False,False,0.0,BLOCKED
