candidate_id,kind,event_feature,event_orientation,self_feature,self_orientation,third_feature,third_orientation
single|pos_gapz_max_5|+1,single,pos_gapz_max_5,1,,,,
pair|pos_gapz_max_5|+1|self_ret_5|+1,pair,pos_gapz_max_5,1,self_ret_5,1,,
pair|pos_gapz_max_5|+1|self_ret_5|-1,pair,pos_gapz_max_5,1,self_ret_5,-1,,
pair|pos_gapz_max_5|+1|self_ret_21|+1,pair,pos_gapz_max_5,1,self_ret_21,1,,
pair|pos_gapz_max_5|+1|self_ret_21|-1,pair,pos_gapz_max_5,1,self_ret_21,-1,,
pair|pos_gapz_max_5|+1|self_ret_63|+1,pair,pos_gapz_max_5,1,self_ret_63,1,,
pair|pos_gapz_max_5|+1|self_ret_63|-1,pair,pos_gapz_max_5,1,self_ret_63,-1,,
pair|pos_gapz_max_5|+1|self_mom_252_21|+1,pair,pos_gapz_max_5,1,self_mom_252_21,1,,
pair|pos_gapz_max_5|+1|self_mom_252_21|-1,pair,pos_gapz_max_5,1,self_mom_252_21,-1,,
pair|pos_gapz_max_5|+1|self_atr_63|+1,pair,pos_gapz_max_5,1,self_atr_63,1,,
pair|pos_gapz_max_5|+1|self_atr_63|-1,pair,pos_gapz_max_5,1,self_atr_63,-1,,
pair|pos_gapz_max_5|+1|self_compression_20_63|+1,pair,pos_gapz_max_5,1,self_compression_20_63,1,,
pair|pos_gapz_max_5|+1|self_compression_20_63|-1,pair,pos_gapz_max_5,1,self_compression_20_63,-1,,
pair|pos_gapz_max_5|+1|self_volume_ratio_5_20|+1,pair,pos_gapz_max_5,1,self_volume_ratio_5_20,1,,
pair|pos_gapz_max_5|+1|self_volume_ratio_5_20|-1,pair,pos_gapz_max_5,1,self_volume_ratio_5_20,-1,,
pair|pos_gapz_max_5|+1|self_dist_high_63|+1,pair,pos_gapz_max_5,1,self_dist_high_63,1,,
pair|pos_gapz_max_5|+1|self_dist_high_63|-1,pair,pos_gapz_max_5,1,self_dist_high_63,-1,,
pair|pos_gapz_max_5|+1|self_range_loc_63|+1,pair,pos_gapz_max_5,1,self_range_loc_63,1,,
pair|pos_gapz_max_5|+1|self_range_loc_63|-1,pair,pos_gapz_max_5,1,self_range_loc_63,-1,,
single|pos_gapz_max_5|-1,single,pos_gapz_max_5,-1,,,,
pair|pos_gapz_max_5|-1|self_ret_5|+1,pair,pos_gapz_max_5,-1,self_ret_5,1,,
pair|pos_gapz_max_5|-1|self_ret_5|-1,pair,pos_gapz_max_5,-1,self_ret_5,-1,,
pair|pos_gapz_max_5|-1|self_ret_21|+1,pair,pos_gapz_max_5,-1,self_ret_21,1,,
pair|pos_gapz_max_5|-1|self_ret_21|-1,pair,pos_gapz_max_5,-1,self_ret_21,-1,,
pair|pos_gapz_max_5|-1|self_ret_63|+1,pair,pos_gapz_max_5,-1,self_ret_63,1,,
pair|pos_gapz_max_5|-1|self_ret_63|-1,pair,pos_gapz_max_5,-1,self_ret_63,-1,,
pair|pos_gapz_max_5|-1|self_mom_252_21|+1,pair,pos_gapz_max_5,-1,self_mom_252_21,1,,
pair|pos_gapz_max_5|-1|self_mom_252_21|-1,pair,pos_gapz_max_5,-1,self_mom_252_21,-1,,
pair|pos_gapz_max_5|-1|self_atr_63|+1,pair,pos_gapz_max_5,-1,self_atr_63,1,,
pair|pos_gapz_max_5|-1|self_atr_63|-1,pair,pos_gapz_max_5,-1,self_atr_63,-1,,
pair|pos_gapz_max_5|-1|self_compression_20_63|+1,pair,pos_gapz_max_5,-1,self_compression_20_63,1,,
pair|pos_gapz_max_5|-1|self_compression_20_63|-1,pair,pos_gapz_max_5,-1,self_compression_20_63,-1,,
pair|pos_gapz_max_5|-1|self_volume_ratio_5_20|+1,pair,pos_gapz_max_5,-1,self_volume_ratio_5_20,1,,
pair|pos_gapz_max_5|-1|self_volume_ratio_5_20|-1,pair,pos_gapz_max_5,-1,self_volume_ratio_5_20,-1,,
pair|pos_gapz_max_5|-1|self_dist_high_63|+1,pair,pos_gapz_max_5,-1,self_dist_high_63,1,,
pair|pos_gapz_max_5|-1|self_dist_high_63|-1,pair,pos_gapz_max_5,-1,self_dist_high_63,-1,,
pair|pos_gapz_max_5|-1|self_range_loc_63|+1,pair,pos_gapz_max_5,-1,self_range_loc_63,1,,
pair|pos_gapz_max_5|-1|self_range_loc_63|-1,pair,pos_gapz_max_5,-1,self_range_loc_63,-1,,
single|pos_gapz_max_10|+1,single,pos_gapz_max_10,1,,,,
pair|pos_gapz_max_10|+1|self_ret_5|+1,pair,pos_gapz_max_10,1,self_ret_5,1,,
pair|pos_gapz_max_10|+1|self_ret_5|-1,pair,pos_gapz_max_10,1,self_ret_5,-1,,
pair|pos_gapz_max_10|+1|self_ret_21|+1,pair,pos_gapz_max_10,1,self_ret_21,1,,
pair|pos_gapz_max_10|+1|self_ret_21|-1,pair,pos_gapz_max_10,1,self_ret_21,-1,,
pair|pos_gapz_max_10|+1|self_ret_63|+1,pair,pos_gapz_max_10,1,self_ret_63,1,,
pair|pos_gapz_max_10|+1|self_ret_63|-1,pair,pos_gapz_max_10,1,self_ret_63,-1,,
pair|pos_gapz_max_10|+1|self_mom_252_21|+1,pair,pos_gapz_max_10,1,self_mom_252_21,1,,
pair|pos_gapz_max_10|+1|self_mom_252_21|-1,pair,pos_gapz_max_10,1,self_mom_252_21,-1,,
pair|pos_gapz_max_10|+1|self_atr_63|+1,pair,pos_gapz_max_10,1,self_atr_63,1,,
pair|pos_gapz_max_10|+1|self_atr_63|-1,pair,pos_gapz_max_10,1,self_atr_63,-1,,
pair|pos_gapz_max_10|+1|self_compression_20_63|+1,pair,pos_gapz_max_10,1,self_compression_20_63,1,,
pair|pos_gapz_max_10|+1|self_compression_20_63|-1,pair,pos_gapz_max_10,1,self_compression_20_63,-1,,
pair|pos_gapz_max_10|+1|self_volume_ratio_5_20|+1,pair,pos_gapz_max_10,1,self_volume_ratio_5_20,1,,
pair|pos_gapz_max_10|+1|self_volume_ratio_5_20|-1,pair,pos_gapz_max_10,1,self_volume_ratio_5_20,-1,,
pair|pos_gapz_max_10|+1|self_dist_high_63|+1,pair,pos_gapz_max_10,1,self_dist_high_63,1,,
pair|pos_gapz_max_10|+1|self_dist_high_63|-1,pair,pos_gapz_max_10,1,self_dist_high_63,-1,,
