asset,rule,period,n_months,base_annual_arithmetic_return,strategy_annual_arithmetic_return,annual_return_difference,base_maximum_drawdown,strategy_maximum_drawdown,drawdown_improvement,base_worst_5pct_expected_shortfall_monthly,strategy_worst_5pct_expected_shortfall_monthly,expected_shortfall_improvement,downside_capture,upside_capture,rolling_10y_drawdown_improvement_share,rolling_10y_expected_shortfall_improvement_share,rolling_10y_windows,moving_block_boot_probability_both_risk_metrics_improve,exposure_share,switch_count
dxy,normal,validation,324,-0.013032454752883414,-0.0028252507099753525,0.010207204042908062,-0.37659487715125595,-0.21481900886538974,0.1617758682858662,-0.031913022228940595,-0.02481268226482117,0.007100339964119424,0.4395622637675342,0.4919815296415134,0.8097560975609757,1.0,205,0.9693333333333334,0.4074074074074074,46
dxy,reverse,validation,324,-0.013032454752883414,-0.01872572256142658,-0.005693267808543165,-0.37659487715125595,-0.40097235279438426,-0.02437747564312831,-0.031913022228940595,-0.027012420695679155,0.0049006015332614394,0.6308101674968717,0.4411484314662427,0.8975609756097561,0.9658536585365853,205,0.44566666666666666,0.5925925925925926,46
dxy,normal,lockbox,285,-0.0022299664827850375,-0.0038575019580448784,-0.0016275354752598409,-0.27242428732954815,-0.16155003394275402,0.11087425338679413,-0.02027443374798638,-0.015727738090612762,0.004546695657373617,0.5114416214401213,0.44994695771624654,0.7289156626506024,1.0,166,0.6786666666666666,0.48771929824561405,49
dxy,reverse,lockbox,285,-0.0022299664827850375,-0.008688253998424374,-0.006458287515639337,-0.27242428732954815,-0.2717235913299948,0.0007006959995533579,-0.02027443374798638,-0.01849531959769628,0.0017791141502900981,0.6019573902393737,0.4356955193090079,0.7289156626506024,1.0,166,0.32233333333333336,0.512280701754386,49
gold,normal,validation,336,0.08662266216714117,0.11118062027317256,0.024557958106031397,-0.620796374998149,-0.3626560360168929,0.2581403389812561,-0.09728127908070837,-0.08123177743446176,0.016049501646246606,0.5010577260349532,0.7534610653023365,1.0,0.8986175115207373,217,0.986,0.5208333333333334,36
gold,reverse,validation,336,0.08662266216714117,-0.03098652953460284,-0.117609191701744,-0.620796374998149,-0.7280037587586363,-0.10720738376048733,-0.09728127908070837,-0.07227665571052103,0.025004623370187343,0.5175939245849247,0.23523396557787749,0.6175115207373272,1.0,217,0.17866666666666667,0.4791666666666667,36
gold,normal,lockbox,285,0.0886302478825441,0.07585326394838311,-0.01277698393416099,-0.3929712099495525,-0.24765646799953622,0.14531474195001626,-0.06428919581634124,-0.05693173746729027,0.007357458349050966,0.6170267164010274,0.7147382422489319,1.0,1.0,166,0.9013333333333333,0.6771929824561403,36
gold,reverse,lockbox,285,0.0886302478825441,0.005198036565739928,-0.08343221131680417,-0.3929712099495525,-0.2846425412196547,0.10832866872989777,-0.06428919581634124,-0.05063742586992746,0.013651769946413775,0.41258147972329295,0.26776791496615315,1.0,0.8674698795180723,166,0.7373333333333333,0.32280701754385965,36
oil,normal,validation,227,0.10320212786631211,0.06442450890921117,-0.03877761895710094,-0.7123703516316725,-0.6586477544005416,0.05372259723113093,-0.187293070333954,-0.15378088035736032,0.03351218997659369,0.5446460354384478,0.5612683313365973,1.0,1.0,108,0.892,0.5242290748898678,29
oil,reverse,validation,227,0.10320212786631211,0.03111242071921548,-0.07208970714709663,-0.7123703516316725,-0.3435989710202022,0.3687713806114703,-0.187293070333954,-0.14728241058543415,0.04001065974851986,0.46346462169518676,0.4296406765116025,1.0,1.0,108,0.8746666666666667,0.47577092511013214,29
oil,normal,lockbox,225,0.11707529409804224,0.07011193172463454,-0.0469633623734077,-0.8626036010288655,-0.568214180694208,0.2943894203346574,-0.2291762195866316,-0.13862639012990982,0.09054982945672177,0.48716535011706635,0.5114536895348558,1.0,1.0,106,0.983,0.6044444444444445,42
oil,reverse,lockbox,225,0.11707529409804224,0.03576336237340769,-0.08131193172463455,-0.8626036010288655,-0.7852094218823432,0.07739417914652225,-0.2291762195866316,-0.21264088548366192,0.016535334102969673,0.5254930588258838,0.4776498796719607,1.0,0.6320754716981132,106,0.6673333333333333,0.39555555555555555,42
